	icept	comp_000	comp_001	comp_002	comp_003	comp_004	comp_005	comp_006	comp_007	comp_008	comp_009	comp_010	comp_011	comp_012	comp_013	comp_014	comp_015	comp_016	comp_017	comp_018	comp_019	comp_020	comp_021	comp_022	comp_023	comp_024	comp_025	comp_026	comp_027	comp_028	comp_029	comp_030	comp_031	comp_032	comp_033	comp_034	comp_035	comp_036	comp_037	comp_038	comp_039	comp_040	comp_041	comp_042	comp_043	comp_044	comp_045	comp_046	comp_047	comp_048	comp_049	emotion	sub	feature_set
0	-3.546133480387992	0.27326685922079696	0.19015200481562433	-0.9203151943591723	0.7314204002948879	0.5950608522439879	0.570644898329519	-0.11923813793314329	0.37414273663428743	0.09343451705755554	-0.2047188871426183	0.12060467917681286	-0.15617379335661855	-0.526412473636896	-0.6637370403259217	-0.013156632119328096	-0.7410116844446197	-0.3510714938363603	0.5733960988663521	-0.23631573292733538	-0.4710830268899565	-0.5283697452763293	-0.31129981841164406	0.052764178018344134	-0.2632529427726243	-0.4905415411176156	-0.10633578015940758	-0.15005024373980544	-0.15931603900196126	-0.1564555679638708	-0.3754536029002201	0.06289943797460301	-0.28534830871922146	-0.45703763346957	0.06824241497286548	0.08781696789643317	-0.27435392699175404	-0.3311945540837622	-0.16832982432917187	0.1728628252816565	-0.23153141753910111	0.4479263474248251	0.3087920115427715	0.22887170749355812	0.45213323015405144	0.32806749763427606	0.5741868648724018	-0.5919832001779004	0.43205342224890797	0.04174551285326364	-0.00038255525933550834	anger	01	vertexPCA_type-static
1	-2.687388557168504	-0.04169453939339572	0.16798944625808143	-0.196809811202693	0.09575268446844126	0.6734183334334516	-0.23519664782922337	0.21974964325443608	0.17601063420342514	0.35622374982859073	0.14194703900115616	0.19279769822557932	-0.2873268763211464	-0.16372909260961252	-0.046275154812825806	0.10601643012255996	-0.3191953977800353	-0.4280700549141158	0.011498497242613464	0.1781678239746856	0.043762908920452766	-0.8941055849896504	-0.16239525718259037	0.5242284822579966	-0.48215895869237374	0.16424986506016423	0.26762834945259334	0.19029031053346684	-0.5196187058636638	-0.5955284142575171	0.30999584292739896	0.4017988283822999	-0.35391027571501144	0.023157889507468048	0.14544537386634093	0.2674260686928742	-0.052725247309394804	-0.18691780315677067	0.6424261484644588	-0.5254127381011972	0.129003591065775	0.20634691733190252	-0.461186626369433	-0.5699720038934687	0.03487135827051891	-0.34786788457059326	-0.17193850844605993	0.3059011462251036	-0.4467904727068818	0.3867661468649992	0.021974139366493336	disgust	01	vertexPCA_type-static
2	-3.438476314593453	0.14748395734328182	0.08575535852796808	0.9052628125671022	-0.4376256057268526	0.12766155456903408	0.502384924256427	0.3654972112553279	0.7328196353778713	-0.0953624173137258	0.6331827406663934	-0.20500846952565863	0.23954026259769723	0.044408558247098495	0.35382622201577685	-0.31254710417432535	-0.4329905674050844	0.13722741633173324	0.3351057392084585	0.07115724250655943	0.0854548424812165	0.210984987327404	0.8392436967207431	0.41282737552285126	-0.4010861409284586	-0.06735044230677921	-0.5141074191519551	-0.25604473481753914	0.18120043482401382	-0.20862807830197272	0.15470365267920438	-0.2801213725778639	0.02854322958656587	-0.32027646116629405	0.10803515835702333	-0.2374596444755565	0.0453903159178836	0.6458074674525774	-0.24588876325531903	0.1887662469818065	-0.01100236181245005	0.5020221182567518	-0.1938825627009788	0.04708251409692376	0.49101771443650916	0.6065186420040409	0.24332671977888418	0.4981997786929334	-0.45884807794973814	0.49026088068570095	-0.07029586832838515	fear	01	vertexPCA_type-static
3	-2.4449117914050174	-0.3441706096409578	0.024981434132344046	-1.0503154298949509	-0.727775119919664	-0.7638493915430203	-0.09031414351634054	0.024107003639921135	-0.36615220586943614	0.284366341956918	0.2810658729134696	-0.47360153230518115	0.1396094146079974	0.25878996353894584	0.23811186927933556	0.05089329382784647	0.6303990821749168	0.7253988594339011	-0.2181023612828087	0.15723592790029714	0.9231089180742533	1.1510031964835965	-0.1944929162665036	-0.14413208401956415	0.6117398778195873	0.04800312466760505	0.29144873735122345	0.04138907031916519	-0.030651033094077938	-0.04184276133267984	0.32900692545733967	-0.1281347520598212	0.44353278217550246	0.5711052359588966	0.07862380019499589	0.16521092204586327	-0.39626085150962626	-0.0818607954209469	0.19960893406614105	-0.10891972718110306	-0.28034029235946095	-0.5867892699905204	-0.13880822787966995	0.15432332014641048	-0.29319419891955073	-0.22675316295944628	-0.3831765455328267	-0.5998556254855903	0.5769303754624103	-0.42106156975248643	-0.21944338553644369	happiness	01	vertexPCA_type-static
4	-2.7655565478784383	0.17542122801066318	-0.08919640546953353	0.650652159558527	-0.29647689685513634	0.3075643635190552	0.00047314317904925733	-0.5869950907523479	0.4530608514489979	-0.7044112042789457	-0.46237270425009114	0.042139749191392524	0.2647521288280846	0.2660335907872842	-0.03868962660170094	0.1429198755343975	0.18428797519000628	0.039559030760452425	-0.3939934315915899	0.12811952444074082	-0.3412700716513725	-0.3176014786155463	-0.3007984284504621	0.07142093302010476	-0.6533446015482413	-0.19121637144082762	0.18386848335854145	-0.343853783698222	0.14855268072962258	-0.058440408290979455	-0.30433951708669604	-0.26350301003477844	-0.5452317752036818	-0.5770045266095333	0.5079427491837053	-0.1684582510423182	0.7113781593032514	0.22502611974838993	-0.3690552164171337	0.31101254626714697	0.33859636451458913	0.16529992336424867	-0.0032701784239404126	0.1032671642703599	-0.009392927742041708	-0.3230577443036822	-0.3310761477987574	0.07165734711842985	-0.4338608333367724	0.11907118742924952	-0.08707593774956396	sadness	01	vertexPCA_type-static
5	-2.176202770146803	0.021218526098385208	-0.32555738722838273	0.45779051586600217	0.5222258291221117	0.21635311396648174	0.03197959335675237	0.06709854587882738	-0.2103189885168866	-0.2845784660044473	-0.2151044530489553	0.09215579919557365	0.0374439416037147	0.10283526962704247	0.05874209568504773	0.1326165625680393	0.20671214729376103	-0.1315362129395314	-0.3349857619872092	-0.035014747428139606	-0.49268507357162916	-0.41060679006665174	-0.12168756069590936	-0.19089018251426423	-0.47482694967340483	0.3529931455115291	0.2633045644630163	0.043334519517521305	0.012703757239652533	0.41168872900308395	0.12941212740626132	-0.3219543529468814	0.1929202742676257	0.050786937162172655	-0.020914288264489978	-0.2854083993908007	0.07984227523597842	0.7340557654291676	0.22890435916819862	0.02617354139442125	0.02049710053325054	-0.2257077895454852	0.2665695095432066	-0.30047383889903023	0.13200898718221368	-0.1498228327165165	-0.11328381616949028	0.3133904782936127	-0.20480782302499662	0.48904962209066616	0.3225904277006746	surprise	01	vertexPCA_type-static
0	-3.1711514338717284	0.17923804279893257	0.5800448981233772	-0.5686027685541645	0.23009901739065464	0.9699609902500445	0.603694857421031	-0.31709592914308266	0.07151751811863674	0.5192966233233203	0.3783871473350267	-0.10098774456259406	-0.3479553803347094	0.4857422120277213	0.4032355991056134	0.37501604937044886	-0.11851339065340113	-0.22202225707563264	0.13104649452321793	-0.41334972863794656	0.033714194179657354	-0.7380873220558611	0.38851676865804236	-0.27706861961078666	-0.4944299826278926	0.14954429468439312	0.2974912713295163	0.6391941727974527	-0.39476557540707036	-0.1266060560705253	-0.38326004916466444	-0.05103273222581803	0.6802654111450708	-0.333236995535881	-0.09658823614783256	0.02188928756991522	0.05525290413012872	-0.42996372887276385	0.3894655322454532	0.5039865244224521	0.18501166400741875	0.1895030740899345	0.1359850297298437	-0.1252015036694426	0.1268010097128003	0.22883654683154211	0.2348309861989225	0.4045330711498253	0.0584055195546404	-0.019918870913482337	-0.02776823108100768	anger	02	vertexPCA_type-static
1	-2.78789608734383	0.2878511452786519	0.1419672476330152	0.033723810402522564	0.4192681997504403	0.46717267715348315	-0.06685278440578733	0.2421279754095016	0.7316246330132482	0.3916369162884573	-0.07989260510020196	0.3535529599087405	0.10165570576294114	-0.34170054298464614	0.18222509966519088	-0.018518442054527226	0.09306546014372336	-0.30740330794294857	0.29920750144452485	0.08203786547275337	-0.5128956703209816	-0.34789218559549107	-0.1879504166435137	-0.012950456443116511	-0.4383794895446418	0.25859376524613276	-0.4206999646370868	-0.5063299416369708	0.449117270509442	-0.20876931260142448	-0.5916301538264439	0.21649296526654627	0.22489978292887383	0.45152258997614325	0.383888964722572	-0.2427252810573843	0.02936568032759902	-0.22330947211452898	0.22168101359823889	-0.5544333563303658	0.15195390243444248	0.011003609573376961	0.18296100196847942	0.2638079892916385	0.29267279728876355	-0.32276622660258875	0.3467793514703183	-0.44904928401019356	-0.0303553309456307	0.3560545341625142	-0.2995614922458579	disgust	02	vertexPCA_type-static
2	-3.56425657679017	-0.10669530091971438	-0.22816486772062436	0.9020471726027082	-0.5102001872430654	0.24783986856981152	-0.1874526976406245	0.12114849748554816	0.08563823862002033	-0.056024502653597624	0.061551206212272655	0.6406743772927598	0.3122383956844352	-0.567566329329715	0.07089916313936671	0.3791379772293829	0.17123651251092817	0.3151839814553703	-0.47690315784202403	-0.17665710859084205	0.3605763554571103	0.17402733652064473	-0.09814677160241198	-0.19844506169404505	0.12390248564429028	-0.36539594799183156	-0.06252388151198483	0.07891459452542725	0.09050438350145934	-0.5603537086852056	0.3660895469907123	-0.06738778088249184	0.25757628970243585	0.02854790223527505	-0.512257082403472	0.43452340414693613	-0.5271250427841919	-0.2551981219264621	-0.7283253624217012	0.2152329115783083	-0.050211039430694875	0.1728515215214941	-0.5789454280487338	-0.28095262719914166	0.7620210976721524	-0.9850393571862949	0.4158957223669979	0.2891505286397554	-0.18854029904601066	0.05387408783781451	-0.11020216743250989	fear	02	vertexPCA_type-static
3	-1.809582256581422	0.012326812228966587	-0.16448547757309873	-0.2869753353560254	-0.2862354748605575	-0.3747831833761909	0.01728423941359431	-0.35547135571332444	-0.17497836547110676	0.04889153644125403	-0.028735554343007272	-0.05219293007916307	0.033568160609470536	0.2150381427842138	0.1620312740423703	-0.29641811510609894	0.0845581636641837	0.07136409209312891	-0.22468247999534438	0.22408253528655564	0.4618770761741311	0.2719786905981881	-0.10743771201289701	0.11170948171909663	0.14053440462483555	-0.13342993800834446	0.14603513833601103	-0.03562822752160256	0.03383763081354628	0.12930052826923155	-0.029721035664191785	-0.3343418298042057	0.13834686406586588	0.34093734988274677	0.22207507347691163	0.05434282851405117	0.1457173970253121	-0.10213513012416278	0.4489528944550607	-0.015662275787493577	-0.08722899887588005	-0.090761535229424	-0.22107251778751538	0.3385556527229918	-0.2655405771146961	0.14396903370487546	-0.40984851236202935	-0.32376508890828154	0.04245353661467956	-0.4552013332611201	-0.09509456677358427	happiness	02	vertexPCA_type-static
4	-2.103249636935183	-0.11118877190230476	0.13798036693056315	0.46702073146156714	0.1539783690528758	-0.22478435436818703	-0.060935196772044016	-0.20910485948690302	-0.059721003436993214	-0.20262319120274946	0.17632665129760736	-0.49987150608916947	0.37433388561972686	0.12283147953086493	-0.042257778019038746	-0.2900079545002817	0.02496231414518312	0.02567537394577846	-0.18028500550680504	0.1041032478435617	-0.36835029342682835	-0.14110772571809124	0.35413740362089574	-0.4767983025929402	0.25612842960358967	-0.472262285167739	0.29299747904025986	-0.6770321519983169	-0.28454973420910085	0.06564796671185366	-0.03243129987806594	-0.24923419397158844	0.009948084731231986	-0.260895950659452	0.40707886639913865	-0.002879589381576954	0.1532031665990505	0.030295760639244773	-0.015330244387545804	0.2316176213507515	-0.010592911146147011	0.05594186048664093	0.16331475467350526	-0.2984011973177909	-0.03145581231738948	-0.027095292826639313	0.04608121586471017	0.12708118386507647	-0.22549055994162623	0.18017902176043743	0.05687358827831269	sadness	02	vertexPCA_type-static
