	icept	comp_000	comp_001	comp_002	comp_003	comp_004	comp_005	comp_006	comp_007	comp_008	comp_009	comp_010	comp_011	comp_012	comp_013	comp_014	comp_015	comp_016	comp_017	comp_018	comp_019	comp_020	comp_021	comp_022	comp_023	comp_024	comp_025	comp_026	comp_027	comp_028	comp_029	comp_030	comp_031	comp_032	comp_033	comp_034	comp_035	comp_036	comp_037	comp_038	comp_039	comp_040	comp_041	comp_042	comp_043	comp_044	comp_045	comp_046	comp_047	comp_048	comp_049	emotion	sub	feature_set
0	-3.2657920254974497	-0.6013098858409602	-0.5635274744786807	-1.2156772266313034	0.9722066570645321	0.612033503747954	0.3306177556621426	-0.2535114503953612	-0.504544088309722	-0.23315979316197402	-0.3672073758999417	0.17445489962657845	0.16226975566389268	0.6113586000603486	0.17180638798913603	-0.18444325551131274	-0.07257908263479512	-0.10656697021327108	0.8546307790177253	-0.3110975207335473	0.3017880849834889	0.4526813247872047	-0.31240224337883776	-0.7543948888383325	-0.19710167389355968	0.000854827045106194	-0.36253915805980796	0.25300691242939416	0.11911105292165707	0.11418037413629692	0.6643848985528945	0.6334626327508058	-0.189075076088739	0.1273099800052021	0.3519758274272934	0.025364555210693446	-0.03469772084246036	-0.18519574482598952	-0.5076439596861708	-0.18775422190012014	0.39070095893623674	-0.001871017948368222	-0.7125924783864608	-0.4092591388216412	-0.44723583874551065	0.5939927152435146	0.09432103628655376	-0.09906368644774069	-0.2017234772664964	-0.33375588672862205	-0.20573711428643157	anger	01	vertexPCA_type-dynamic
1	-3.74063626917893	-1.8506460100918796	-1.2326613481757926	-0.6458549257027143	1.3007058386028516	0.7151105646479716	-0.478159315829067	0.47254862576806766	0.06452413582154552	0.1721100752283178	0.06066086882853633	0.15592379960714983	-0.36526976304409664	0.0878898687114411	0.023472424034177056	-0.14126568602641132	0.3179118830364763	0.511588598637651	-0.06725840478907939	0.07864837539722826	-0.4729986725665896	0.070251297952433	-0.9264825637609849	0.40479615138920627	-0.16064306628689665	0.3477149030983566	0.3667168286060438	-0.28405140117905703	-0.42426897447286643	-0.44273196450850816	-0.23694400831620496	-0.029995286519090822	0.8781978846955717	0.03908617039052278	-0.012787920708464686	0.06969407221287577	-0.13071141490147833	-0.5617865467930925	-0.05070719301740025	-0.34906355172313785	-0.3438363239105409	-0.2477432281388827	-0.7251148394202207	0.1849023423538962	-0.13805301097549882	-0.040540720201842746	0.03494624382469124	0.27092338983720743	-0.011072605979940496	-0.3182101488653402	-0.14074204897311254	disgust	01	vertexPCA_type-dynamic
2	-2.774832757115442	-1.3398282132094692	-0.3959563529687074	0.8721014579509139	0.5359129768893048	0.1356706767552733	-0.01889207918207103	0.14981817783479864	-0.3736340932641399	-0.04987629185711768	0.4997297799281312	-0.25456571563829405	0.2681913487223149	0.09885849548277056	-0.009381516719048877	-0.23727341588287104	0.17208298813676837	0.3669373677974377	-0.47619675240154125	-0.0912844180205183	-0.0763729303226688	-0.23843528479442594	-0.10844606161238829	0.3142843436805338	0.28530467553176214	0.21339072847585747	-0.3728043522794778	-0.08539297427614205	0.2624410359111903	0.05642185782882216	-0.2743466206018514	-0.18963986555918078	0.007612061334882826	0.25569201626344523	0.5182045265124197	0.39182883017236725	-0.010906689447814946	0.3519040300316619	-0.41812637666496755	-0.12189594654760104	-0.35379091148878283	-0.5012083544405291	0.12839877129309885	0.05585047702506132	-0.11878766324857772	-0.09364986088878098	0.13450382745214598	0.17799997983254712	-0.386696955882241	-0.2952454810924258	-0.13882390370630265	fear	01	vertexPCA_type-dynamic
3	-2.50895273680544	0.15039721267148787	1.1242703698666932	0.37316488388621566	-0.23556111032723584	-1.3500953048448576	0.24544667881839885	-1.588313837764386	0.1922728165684973	0.4204340074868495	-0.30669270969955703	-0.3350905726426055	-0.011238767413190487	-0.14990813669707304	-0.6396558440333687	0.016841365860154504	0.09472775556185192	-0.19062711328225393	-0.42428644315654873	-0.07066273883502733	0.21146774448419944	-0.38559557300283565	0.08441641921707982	-0.688746323895452	0.11596273784307637	0.05922279469752805	0.359623712077152	-0.06257604315234656	-0.03694629132326274	-0.01962799656606062	-0.35689697437403844	0.017167199866829477	0.06157498046755621	0.026632019457574863	0.25644125205432283	0.38438983915377706	-0.12236306818535944	-0.5287818669284191	0.048868665781106914	-0.396800528378212	-0.07351366941583735	0.12821661467424894	0.3047547304643949	0.17719155078761128	0.12186278261408741	-0.18936407101489652	-0.25795581343604107	-0.04792296708994658	0.24939003963188688	-0.19407607304225866	0.12597917982369292	happiness	01	vertexPCA_type-dynamic
4	-5.05432619787895	-2.2144471876347342	-2.0246580717004945	1.825721777086877	-0.20655351593547772	0.5642182352745111	-0.30165911848647387	-0.5176588972192779	0.5208745458584315	-0.10261966924379996	0.48781243488577	0.145901801268426	0.631800371468485	0.2806981529852922	-0.6855173452675716	-0.021238379556908233	-0.2109587347643527	-0.7230472889048882	-0.2160544324117983	-0.06150852276983087	0.4176687098317871	1.1061336349042283	0.8355400699404499	0.38020901260240225	-0.7089443532304233	-0.035014776356323524	-1.4118909542835612	-0.1366174327550844	-0.6365340292780548	-0.37558814077956987	0.12901806801606552	-0.7153654578152095	-0.3013279852122049	0.721744235522801	0.37354301141625273	-0.989409247269042	-0.6089416016043803	0.16790283051471594	0.36388143812850804	0.29547438309097634	0.18836572793352996	0.3773689801392805	0.5490143850795518	0.3577528059238827	-0.4887491398895422	-0.12736501177869775	0.06435367846465719	-0.3647271477080617	-0.10048166306247205	0.3795050419381555	0.06840616269585105	sadness	01	vertexPCA_type-dynamic
5	-4.0245400642988285	2.32371290691654	-2.510367833676185	0.19319569671348458	-1.2165597672118482	-0.9654024460530515	-0.4278837181009274	-0.36426897576448874	-0.24120819791215445	-0.611028904953351	0.11128999564733151	-0.5874932406603842	0.45483513331728226	0.11961280214353208	0.3571673671981539	0.0076516843614863675	0.6221565449970471	-0.22835889719736738	0.4061716611336486	0.2498977592028346	-0.465110203355449	0.4303602381251175	0.3205605898653197	0.32366187135380015	0.20877941129548563	-0.5980226292029793	0.5144385107354457	-1.0666082613494396	-0.41350851453639387	0.6651752029352305	0.167684095243665	-0.5562217801131264	-0.5556966211383023	-0.08280264624773519	0.5226952230790527	0.6923880476089564	0.3916162841405113	0.3910691444277418	0.351052670251396	0.10360380728690137	0.5542236934483497	-0.2591824715539783	0.48667589169909076	0.21496259105131668	-0.20225033735931292	0.019140334998983807	0.5743787866785708	0.010810140761361197	-0.1374641662237028	0.610938253106781	-0.11470736181058559	surprise	01	vertexPCA_type-dynamic
0	-4.468196135672446	-1.7389065157434334	-1.4702293530623078	-0.45914064604687366	1.8854597505812765	1.2574337897078864	-0.036997566624906046	0.5601092797149023	-1.2438399339292516	-0.5140052327490564	0.23725661137633508	0.2913095818183509	-0.8083812331503861	-0.49974601786651307	-0.23590756594500678	-0.38241118725655737	0.3657874658317113	0.022022426346939725	-0.20701218809770805	0.2597951147242415	0.019668922784691956	-0.06727954838130307	-0.20575537756020304	-0.06909906628071757	0.713962944634313	-0.2188930452789225	0.3956709691556789	-0.0024264889892523784	0.23847041173557662	-0.40567956312201614	-0.24934261084333184	0.6610081294815866	-0.8457193906331162	0.1070157472523796	0.14284924098692514	-0.2649025087151176	-0.41905731495610554	-0.7704231444088425	-0.24360176414907042	-0.4500195229439185	0.34719299671912546	0.8287179971430689	-0.6499358862483358	-0.040902564280838376	0.04457499622378039	-0.1908716126760102	-0.18957551596362998	-0.26631750608011456	-0.07044618736730991	-0.7094041337717892	0.45967685981589956	anger	02	vertexPCA_type-dynamic
1	-3.6239870706850343	-2.883183970423394	-0.1366567923332892	-0.16118561102099005	1.2464042543217915	0.6411529638059226	-0.7314873478734971	0.18101981928378305	-0.4246136662373157	0.2167700408347422	-0.15609629293270758	-0.2742658399837331	0.27620677985026554	1.401292343037849	0.3583579439351924	-0.7681432877550891	0.04155208629369988	-0.6838377810210828	0.7130553349889497	-0.010293420451020304	0.11491627309013866	0.921628587715123	0.294191819792239	-0.5015266575587914	-0.47730805604901877	0.4412574812791427	0.13181337683170072	-0.23747720023259447	0.35581995672911704	-0.08938869570795481	-0.6395854739793676	-0.09057269117531258	0.2674863785758672	0.28382221481342307	-0.017723281914339754	-0.36803043041252187	-0.225916968152568	0.2647878394519089	0.16158687558216975	0.35377889932711076	-0.092212792645303	-0.19340813447740007	-0.03980504743227665	0.11090186005171596	0.03365153168028903	0.10950558613278373	-0.019514760099750065	0.09979904235895151	0.11300725450657607	0.1356089445328995	0.28307497625997785	disgust	02	vertexPCA_type-dynamic
2	-5.647115017661462	1.8511562874365857	-2.1350916068627073	1.4395574838892355	1.3526286335282014	-1.8542448946939183	-0.8903537248068809	1.1742011350967974	-0.5785607407903579	0.3936916468966389	-0.41987020092412763	1.162780272341823	-0.4344802207696382	0.5728413282454686	-0.04689016913685645	-0.5912557174679393	0.36709265640411126	0.4450843009513738	-0.7374654308692726	0.24999003105028458	1.3619492217851559	-0.07411996693948451	-0.027544807532490286	-0.13234624401470899	-0.23573564792452945	1.0291133712695346	-1.022519797075873	0.21597314039797053	-0.5705392685094917	0.9765515516709469	-0.3892627103162594	0.6862947626837945	-0.6449105607668827	-0.01922365729422588	-0.7190475549672553	0.4331674279808431	0.3423596663273693	-0.20959692385505124	0.8227282432816645	-0.594531411154081	-0.7710570676710092	0.16282435158185923	0.03316738416036847	1.085986787688257	0.9325612874601791	0.10254803784418712	0.07131369355368891	0.047353159147293405	-0.01734923019439733	-0.49617354894048354	0.7841621163623398	fear	02	vertexPCA_type-dynamic
3	-2.4559173901255273	-1.0797297817420213	0.90946054856138	0.3698055585598722	-0.7246301942730944	-1.5916661089538484	0.3570258158332391	-1.2518600212946607	0.1425904540401582	0.40064428413368847	-0.23531920167916784	-0.20498304254977703	-0.14304003118195527	0.12448327930038917	-0.4719412215097664	0.05811579198969505	-0.15210747444076442	-0.31348516401206156	-0.45570188265107686	-0.26366556933208957	0.026054491109643113	-0.13868272690470984	0.11648092911369251	-0.15146564986321023	0.17306730622861913	-0.014627024051243222	-0.239410169943169	-0.31031845361550053	-0.12581425263518767	0.16165709042627927	-0.1810781223506398	0.048671138601968165	-0.04660063530452038	-0.2562451311946318	0.34942970042202537	0.28027835717427413	0.04107472990296656	-0.127728798482576	-0.20671414295335794	-0.2937477867456548	-0.2804876189073893	0.2809414284069478	0.443389181746104	0.4118563839094641	-0.03479006561438568	0.2605509304956834	0.21670678739630972	0.43218058201595705	0.31713822377007533	-1.9284438406386335e-05	-0.03311528745961479	happiness	02	vertexPCA_type-dynamic
