	icept	sigma	comp_000	comp_001	comp_002	comp_003	comp_004	comp_005	comp_006	comp_007	comp_008	comp_009	comp_010	comp_011	comp_012	comp_013	comp_014	comp_015	comp_016	comp_017	comp_018	comp_019	comp_020	comp_021	comp_022	comp_023	comp_024	comp_025	comp_026	comp_027	comp_028	comp_029	comp_030	comp_031	comp_032	comp_033	comp_034	comp_035	comp_036	comp_037	comp_038	comp_039	comp_040	comp_041	comp_042	comp_043	comp_044	comp_045	comp_046	comp_047	comp_048	comp_049	sub	feature_set
0	-0.02023716292849131	0.5057668115066821	0.04362004823669651	0.04582102892459594	0.046862165610736535	-0.0717050077221099	-0.10401823942099404	0.007652801752471209	-0.10106835042027826	0.021911489361136086	0.008403882549124941	-0.024422602810017027	-0.02499556637983162	0.0016412349370305546	-0.0027051628384512274	-0.009779785507715029	0.0015069818133057336	0.0007355114046188846	-0.020815185799339293	-0.012654864465405374	-0.0083348316493192	-0.014255731237883257	0.0014097089142202058	0.010307480570018339	0.005474455322750495	0.005144810339083577	0.0020999355830571974	0.01708666355182615	-0.008063887078617441	-0.016272491949481622	-0.004982505206239062	-0.0033117205382357717	-0.005807961712811228	-0.012379403899703718	-0.020357399446551367	-0.005392930445292459	0.006005366225750042	-0.015633857757279206	-0.007601440527231021	-0.004412074025218695	0.004634968555155984	0.00498248942880611	0.009725878867875206	0.019445416081560522	0.019836547121845533	6.929123380805446e-05	-0.005516533379928218	0.002713041002568855	-0.019695882307273316	0.008255167584333726	0.003648051141693457	-0.0145501457144881	01	vertexPCA_type-dynamic
0	-0.10222089899106226	0.6861749971552494	-0.021763658191597427	0.04651781131677421	0.07259857253396403	-0.07405927700184327	-0.08508873486291596	0.01139598588603888	-0.12818749143415967	0.035906964769646846	0.03508828583009273	-0.0011086065418593196	-0.014567723516708231	0.019665404309518745	-0.012179953708398803	0.005906003554735114	0.006295602947019849	-0.013969536860218424	-0.0003041272225273225	-0.031922193778341754	-0.023433240745677666	-0.013622638903526446	-0.015728993440701465	0.018730732043657602	-0.015032031242609208	0.02419320033309547	0.002390263253594559	0.00599960877702131	-0.013501905200741345	-0.0007043761620016737	0.02024039874615437	-0.0062859822710239505	-0.0007191535052027251	-0.00820257574746394	0.005580675004469791	0.01743124939547863	0.01657370597232705	-0.004388620010665965	-0.011673293566590135	-0.007059695027526428	0.009184912687587457	-0.008618185147814535	0.01033553569925607	0.016971216837507803	0.0006598379629070058	0.005872331512694466	0.01283306813750754	0.013900252030849432	0.0024365910817589274	0.01925285714472509	-0.011872810450481441	-0.008804337368189277	02	vertexPCA_type-dynamic
0	0.009213784026249196	0.9923891566929306	-0.049464662257156726	-0.0032179421173587296	0.02451765898530893	-0.013543342487158444	-0.004876973927806892	0.019285358102160272	-0.06917278994101309	-0.012931855411394638	-0.019004346533446344	-0.03470421638543801	-0.004516593914633283	-0.007944319955611696	-0.003449850199656807	0.01386151644809042	-0.013034501373208416	0.0017567204475160507	0.013163721254098587	-0.00013074389268371347	0.001324201773783496	-0.027293152644195733	0.01187501841749198	0.021324967409444825	0.001492105288469961	-0.0002591788431846202	0.011147099662703162	0.012019191581323913	-0.016316934358901962	0.011064207526316929	0.006441277292148382	0.00863821289399114	0.009185405224069024	-0.011194653347183055	-0.008082039548256925	-0.0033461367969771704	0.024469120296563177	-0.012418052525664578	0.004145104185221781	0.011745460185617427	-0.022737314114468225	-0.023882101159103823	0.026232184717202463	0.013681400248821227	-0.033124144633564986	0.014460278758510909	0.003569566294387233	0.004879411081967401	0.001418678380195215	-0.0010619775087193305	0.011741009876761986	0.006001892711272887	03	vertexPCA_type-dynamic
0	-0.018540226868479667	0.6281848968927073	-0.14755983041640783	0.018392436388036597	0.07593133245553732	-0.03132938667390451	-0.02981542324738067	-0.01588520480202612	-0.13959416227304028	0.02789573348592807	0.05804344140779063	-0.01763885607202705	0.003100833443974792	0.011442798017087223	0.0017697637937615497	-0.014934121680614958	-0.002616900519312444	-0.001552096200474389	0.013509142259712618	-0.019881076789099783	-0.009245236067154819	-0.021534672587032164	-0.01138937822995587	0.0038749582122871384	-0.011201434359478159	0.025317301176691186	-0.0059890286190306405	0.023000399655271224	-0.007070229289267972	-0.0210102315357698	-0.0014518104368145934	0.014536618619633897	-0.005639075585586352	0.0003669935474569054	-0.007077142275979305	0.007696484060852477	0.005833591576518637	0.007114622094385829	-0.0074282454791148285	-0.01614715938880807	0.013619555662709929	0.013652065598457417	0.008157267525661871	-0.0014137594233851291	-0.018956291005520706	0.0165251828903187	-0.0038468992669763733	0.020197768226510576	-0.027047440463730595	-0.012284203967259879	-0.009283267060439608	0.011050959652330885	04	vertexPCA_type-dynamic
0	-0.05961351736089968	0.34122882477920385	-0.03690179295818395	0.015570871876084325	0.02881293674844364	-0.04765684770230972	-0.0644417485372695	-0.007043681053293391	-0.08521603091342105	0.016728011698060284	0.012942895903158036	-0.021768340617138657	-0.01721864044101277	-0.0017668094675334818	0.010534079648414123	0.002975023501697428	-0.0017526556190154044	0.0017339076723870144	-0.008407956618325293	-0.01324980135643144	-0.01416359706411766	-0.021626635075386588	0.009324445741381915	0.01795010917310729	-0.004923648059995744	2.153954881573478e-05	0.016535713721476962	-0.00579048396055891	-0.014169845234958237	0.0009797547094234915	-0.0007589109099411746	0.02458017954392079	-0.003372203315014794	0.0035734612642313716	0.0016534177788835214	-0.006236790945130532	0.0046902289973243675	-0.02678042510635121	-0.0036111140687316036	0.00016190792876200852	0.009170313610940645	-0.011015704351188572	-0.00816432919686966	-0.014064289295626179	0.0006888678001805673	-0.004459832305445015	0.0035220869018917854	0.00296437741314303	0.004756004711153074	-0.0009420762044744672	-0.006318796556942204	0.0024010174337977816	05	vertexPCA_type-dynamic
0	-0.16327637963195182	0.4266229803230271	0.004475535061284048	0.016071403537482005	0.03438261825193527	-0.04658293584338045	-0.0496398836248163	0.008098466195633655	-0.055904067028990104	0.036250764948971045	0.04669451397595757	-0.011989555281937292	-0.012785583971180067	-0.012550347440474724	0.012934515604074218	-0.002573525968665428	-0.02117008828647792	-0.0026143414953095417	-0.006746151164425032	-0.005301070626786129	-0.016618897658697944	-0.025561876540377577	-0.007313650365360634	0.01792739450824514	-0.012182029718727063	0.000669495757162828	0.0006802094286940878	0.013131213286734219	-0.008514992193414145	-0.005671983954369432	0.00423742108116964	-0.005780988158022808	0.0037523502063604524	-0.0024899926547160478	0.007747562058710069	0.006099352279979126	0.001986756187707157	0.0035951164450154414	0.0003405219762616866	5.270205421681569e-05	0.007478849526048961	-0.0034095210643880756	0.0073404724012995385	-0.01223556976051788	0.004422012079390357	-0.013833568978562059	0.0030791341708556025	-0.0054329006060151695	-0.00703469610902688	0.013101992551103506	0.003018495136550072	-0.0027718008066812422	06	vertexPCA_type-dynamic
0	-0.25884826572902353	0.5917609940936422	-0.057640434968918054	-0.009623917219480868	0.042155748631992306	-0.001188950274374192	-0.035240513510155405	-0.0013325068106493651	-0.08050395171111899	0.01361243518686008	0.015009764647729207	-0.008283140294855492	-0.001895610830465223	0.00012130360726709433	0.016283572334772397	0.004873943477252313	-0.01495762069102317	0.0071275713667013465	-0.009811648144173787	-0.000873494301996482	-0.007571868274153268	-0.009589470600193438	-0.014682838939373059	0.0005345797715635839	-0.010217508612322098	-0.008933953773390476	0.009043351917641938	0.017199227409167423	-0.0076528142743330346	-0.0032693012887882443	0.015085202607075836	-0.0007157848797615852	0.00709455340552048	-0.0025908428366604513	0.009888027089979814	0.005211907731780815	0.016371570451547465	-0.019653805729998104	-0.011800681417920296	-0.012197861532524314	-0.0010845983400007008	0.010670933316222262	-0.006672323305138452	-0.0053250245381858165	0.014030337583746394	-0.008991484259972463	-0.00517429871405403	-0.0026175635972777184	-0.007511748398926185	-0.00309831872686713	-0.00011316598852857775	0.0065492772187925995	07	vertexPCA_type-dynamic
0	-0.07967760441529206	0.24203875124187552	-0.0576123466969798	0.06525945731662149	0.056907566529462404	-0.036002806085722275	-0.043496526256817214	0.020436749357606983	-0.06548000986254413	0.013677428144030076	0.02073212881875756	-0.005983172962553486	-0.001855107896559343	0.011353191085324489	0.005745679760497365	-0.0035634765572051612	-0.012814116900748079	0.008097527003269784	0.00552666276863989	-0.02044536322693498	-0.021070597028376423	-0.027529005750934192	-0.02279644652725821	-0.006774477434628971	0.0008776169159988009	0.02078525718375392	0.011569297940105756	0.013276077741627566	-0.017867900610196503	0.007640339888337863	0.0028950892079441645	0.003817364537139481	-0.0015882520072773854	-0.0012574411443988913	-0.016800755945718948	0.0007105997942927089	0.004679458182366768	-0.012922118398415344	-0.013491255751523882	-0.0031109698639366083	-0.00029627002433179223	-0.007215155349724725	0.006619199089903801	0.002391398308241357	-0.0052648666946728115	-0.004215112593162743	0.006049614030794984	-0.008976724213121037	-0.00978027229835692	-0.0022024440892151535	0.005278406315557487	-0.00363096502394039	08	vertexPCA_type-dynamic
0	-0.14755428302463308	0.7169944419243899	-0.07191575973592636	0.0034545287369909727	0.024918646645328706	-0.02021996046441173	-0.022002810728678143	-0.023899644380137024	-0.07438494431148654	0.006130247752807311	-0.006029847408246512	-0.01875339097551531	0.0052369668449059985	0.010924432249876052	0.010380078720084498	-0.013861402687431473	-0.006319099840624577	-0.0038577878278017743	-0.02616721694078599	-0.00567351605744093	-0.0074082668889071095	-0.016633418017308103	0.008585979097392487	0.025535640508979544	-0.001258155583598469	0.013919719796580026	0.0241383301780736	0.011649060655970345	0.0027770402755656763	-0.011254045472124273	0.0004775132161346367	-0.005009039226597319	-0.0014510046695272829	0.005333801802069744	-0.008352657894229712	0.003958593087790821	0.01688667237095687	-0.00794368139264399	0.0016580541864885782	-0.016448059662585647	0.009499763025980962	-0.0014137563189831129	0.014803192487766492	0.020227545192755308	-0.0012227388157693639	-0.01664891565886758	-0.0026808370730547777	-0.02087668063365511	-0.008330602408663994	0.018023753199096586	-0.003465138584338321	0.0004825010814519371	09	vertexPCA_type-dynamic
0	-0.12860528747871308	1.2513684312057562	-0.07764906381521672	0.0003128804682329385	0.0717278805873353	-0.06224477387530638	-0.034751515945792656	-0.035878267288714905	-0.052903740338164265	-0.014748652650209531	0.0057066841250328635	-0.03569478889440899	-0.008986662066247566	0.010257214099755826	-0.02172913793657373	0.012060997792070096	0.0007735699413136105	-0.0009045493611569564	-0.04246793658896753	-0.015235271916184418	-0.011972633250395959	-0.022891800636012254	-0.00522314812657949	0.01774844047335112	-0.041066623046770966	0.007961205539356263	0.019275851938444073	0.00714626804003281	0.028715621123973956	-0.00792473502053734	-0.002723199016000224	-0.021609167871362005	0.017524054594374446	-0.001540208560292823	-0.011844839522986103	0.005416528554237601	0.000668157199890553	0.017871309287054122	0.0037915979442625565	0.007141800299506645	-0.002652883163091966	-0.023838011699895408	0.009637243051353358	0.009644509369576169	-0.007445998573658036	0.013533655488632747	0.01102134496329351	-0.0057890069020101985	0.015448890895037143	0.041111393997780486	-0.011045983445091171	-0.0012306550218720842	10	vertexPCA_type-dynamic
