	sub	arousal	attractiveness	dominance	trustworthiness	valence
id-1342_AU12-66_AU14-100_AU27i-33_AU6-66	sub-01	0.41236233733682526	-0.47125	0.5	-0.51625	-0.5978383189425872
id-1342_AU13-100_AU26-66	sub-01	0.41236233733682526	-0.47125	0.5	-0.51625	-0.5978383189425872
id-1342_AU13-33_AU24-100_AU26-100_AU4-66_AU9-66	sub-01	0.41236233733682526	-0.47125	0.5	-0.51625	-0.5978383189425872
id-1342_AU14-100_AU25-66	sub-01	0.41236233733682526	-0.47125	0.5	-0.51625	-0.5978383189425872
id-1342_AU14-33_AU20-33_AU43-100	sub-01	0.41236233733682526	-0.47125	0.5	-0.51625	-0.5978383189425872
id-1342_AU17-100_AU2-100_AU20-33_AU26-33	sub-01	0.41236233733682526	-0.47125	0.5	-0.51625	-0.5978383189425872
id-1342_AU17-33_AU27i-33_AU5-66_AU7-33	sub-01	0.41236233733682526	-0.47125	0.5	-0.51625	-0.5978383189425872
id-1342_AU22-33	sub-01	0.41236233733682526	-0.47125	0.5	-0.51625	-0.5978383189425872
id-1344_AU1-33_AU10Open-100	sub-01	0.5020380851782134	-0.645	0.6575	-0.46625	-0.5366957635961863
id-1344_AU1-33_AU11-33_AU4-33_AU7-66	sub-01	0.5020380851782134	-0.645	0.6575	-0.46625	-0.5366957635961863
id-1344_AU1-66_AU12-66_AU24-33_AU27i-33	sub-01	0.5020380851782134	-0.645	0.6575	-0.46625	-0.5366957635961863
id-1344_AU1-66_AU6-100	sub-01	0.5020380851782134	-0.645	0.6575	-0.46625	-0.5366957635961863
id-1344_AU10Open-33_AU16Open-100	sub-01	0.5020380851782134	-0.645	0.6575	-0.46625	-0.5366957635961863
id-1344_AU10Open-66	sub-01	0.5020380851782134	-0.645	0.6575	-0.46625	-0.5366957635961863
id-1344_AU11-100_AU13-33_AU15-100_AU25-33	sub-01	0.5020380851782134	-0.645	0.6575	-0.46625	-0.5366957635961863
id-1344_AU12-66_AU20-33	sub-01	0.5020380851782134	-0.645	0.6575	-0.46625	-0.5366957635961863
id-1344_AU12-66_AU22-66_AU26-100_AU27i-33	sub-01	0.5020380851782134	-0.645	0.6575	-0.46625	-0.5366957635961863
id-1344_AU13-100_AU16Open-66_AU43-100	sub-01	0.5020380851782134	-0.645	0.6575	-0.46625	-0.5366957635961863
id-1344_AU13-100_AU17-100_AU9-66	sub-01	0.5020380851782134	-0.645	0.6575	-0.46625	-0.5366957635961863
id-1344_AU13-66_AU14-66_AU24-33_AU9-33	sub-01	0.5020380851782134	-0.645	0.6575	-0.46625	-0.5366957635961863
id-1344_AU16Open-33	sub-01	0.5020380851782134	-0.645	0.6575	-0.46625	-0.5366957635961863
id-1344_AU17-33_AU6-33_AU7-33	sub-01	0.5020380851782134	-0.645	0.6575	-0.46625	-0.5366957635961863
id-1344_AU2-33_AU20-100_AU24-100	sub-01	0.5020380851782134	-0.645	0.6575	-0.46625	-0.5366957635961863
id-1344_AU20-100_AU22-66_AU7-66	sub-01	0.5020380851782134	-0.645	0.6575	-0.46625	-0.5366957635961863
id-1345_AU1-100_AU20-33_AU4-33_AU7-33_AU9-33	sub-01	0.43613999774931456	0.4475	0.33875	8.326672684688674e-17	-0.15353575009207351
id-1345_AU10Open-33_AU27i-100	sub-01	0.43613999774931456	0.4475	0.33875	8.326672684688674e-17	-0.15353575009207351
id-1345_AU10Open-66_AU16Open-66_AU22-33_AU43-33	sub-01	0.43613999774931456	0.4475	0.33875	8.326672684688674e-17	-0.15353575009207351
id-1345_AU11-100_AU20-66	sub-01	0.43613999774931456	0.4475	0.33875	8.326672684688674e-17	-0.15353575009207351
id-1345_AU11-33_AU25-33_AU9-66	sub-01	0.43613999774931456	0.4475	0.33875	8.326672684688674e-17	-0.15353575009207351
id-1345_AU12-33_AU27i-66_AU7-100_AU9-66	sub-01	0.43613999774931456	0.4475	0.33875	8.326672684688674e-17	-0.15353575009207351
id-1345_AU12-66	sub-01	0.43613999774931456	0.4475	0.33875	8.326672684688674e-17	-0.15353575009207351
id-1345_AU12-66_AU20-100	sub-01	0.43613999774931456	0.4475	0.33875	8.326672684688674e-17	-0.15353575009207351
id-1345_AU14-100	sub-01	0.43613999774931456	0.4475	0.33875	8.326672684688674e-17	-0.15353575009207351
id-1345_AU14-100_AU16Open-100	sub-01	0.43613999774931456	0.4475	0.33875	8.326672684688674e-17	-0.15353575009207351
id-1345_AU14-66_AU4-33_AU6-100	sub-01	0.43613999774931456	0.4475	0.33875	8.326672684688674e-17	-0.15353575009207351
id-1345_AU17-100_AU20-33	sub-01	0.43613999774931456	0.4475	0.33875	8.326672684688674e-17	-0.15353575009207351
