	comp_000	comp_001	comp_002	comp_003	comp_004	comp_005	comp_006	comp_007	comp_008	comp_009	comp_010	comp_011	comp_012	comp_013	comp_014	comp_015	comp_016	comp_017	comp_018	comp_019	comp_020	comp_021	comp_022	comp_023	comp_024	comp_025	comp_026	comp_027	comp_028	comp_029	comp_030	comp_031	comp_032	comp_033	comp_034	comp_035	comp_036	comp_037	comp_038	comp_039	comp_040	comp_041	comp_042	comp_043	comp_044	comp_045	comp_046	comp_047	comp_048	comp_049
id-1260_AU1-100_AU16Open-100_AU2-33	-244.99136631027974	10.738328745223807	56.97110549975298	-86.66750175121143	-92.87172373638658	-26.32945939465219	48.0186199702772	85.74795046266206	-54.64197820393681	96.04411543287294	100.51301913925091	26.693720386734046	88.5221860621288	-68.76031845998867	-46.8232780240458	-28.776722573745655	31.770404040527477	5.720783312103681	-7.5165188015774955	-14.138019109314339	14.392035026279997	-5.586449039572116	-48.32641643320228	36.09314969662183	-14.031916167622049	13.191797399732884	-5.060045922607332	21.949334967971957	20.339318742885713	-0.5738159579103964	4.404258008725191	-21.44722777071684	-26.13469287698377	-5.601812553844671	-25.494632738148017	5.146765437242985	4.603231358753001	-12.503555100455408	16.47065423498015	-30.528601301077583	-7.802489532443161	7.20551154938634	7.836371174566951	11.216698387780315	-19.710030684034926	-21.066775368369953	21.5548898763208	-3.3997610319858707	-3.4644709749474223	2.486122419043113e-12
id-1260_AU10Open-100_AU5-66	-244.99136631027974	10.738328745223807	56.97110549975298	-86.66750175121143	-92.87172373638658	-26.32945939465219	48.0186199702772	85.74795046266206	-54.64197820393681	96.04411543287294	100.51301913925091	26.693720386734046	88.5221860621288	-68.76031845998867	-46.8232780240458	-28.776722573745655	31.770404040527477	5.720783312103681	-7.5165188015774955	-14.138019109314339	14.392035026279997	-5.586449039572116	-48.32641643320228	36.09314969662183	-14.031916167622049	13.191797399732884	-5.060045922607332	21.949334967971957	20.339318742885713	-0.5738159579103964	4.404258008725191	-21.44722777071684	-26.13469287698377	-5.601812553844671	-25.494632738148017	5.146765437242985	4.603231358753001	-12.503555100455408	16.47065423498015	-30.528601301077583	-7.802489532443161	7.20551154938634	7.836371174566951	11.216698387780315	-19.710030684034926	-21.066775368369953	21.5548898763208	-3.3997610319858707	-3.4644709749474223	2.486122419043113e-12
id-1260_AU11-66_AU14-66_AU43-33	-244.99136631027974	10.738328745223807	56.97110549975298	-86.66750175121143	-92.87172373638658	-26.32945939465219	48.0186199702772	85.74795046266206	-54.64197820393681	96.04411543287294	100.51301913925091	26.693720386734046	88.5221860621288	-68.76031845998867	-46.8232780240458	-28.776722573745655	31.770404040527477	5.720783312103681	-7.5165188015774955	-14.138019109314339	14.392035026279997	-5.586449039572116	-48.32641643320228	36.09314969662183	-14.031916167622049	13.191797399732884	-5.060045922607332	21.949334967971957	20.339318742885713	-0.5738159579103964	4.404258008725191	-21.44722777071684	-26.13469287698377	-5.601812553844671	-25.494632738148017	5.146765437242985	4.603231358753001	-12.503555100455408	16.47065423498015	-30.528601301077583	-7.802489532443161	7.20551154938634	7.836371174566951	11.216698387780315	-19.710030684034926	-21.066775368369953	21.5548898763208	-3.3997610319858707	-3.4644709749474223	2.486122419043113e-12
id-1260_AU12-100_AU4-66_AU43-66	-244.99136631027974	10.738328745223807	56.97110549975298	-86.66750175121143	-92.87172373638658	-26.32945939465219	48.0186199702772	85.74795046266206	-54.64197820393681	96.04411543287294	100.51301913925091	26.693720386734046	88.5221860621288	-68.76031845998867	-46.8232780240458	-28.776722573745655	31.770404040527477	5.720783312103681	-7.5165188015774955	-14.138019109314339	14.392035026279997	-5.586449039572116	-48.32641643320228	36.09314969662183	-14.031916167622049	13.191797399732884	-5.060045922607332	21.949334967971957	20.339318742885713	-0.5738159579103964	4.404258008725191	-21.44722777071684	-26.13469287698377	-5.601812553844671	-25.494632738148017	5.146765437242985	4.603231358753001	-12.503555100455408	16.47065423498015	-30.528601301077583	-7.802489532443161	7.20551154938634	7.836371174566951	11.216698387780315	-19.710030684034926	-21.066775368369953	21.5548898763208	-3.3997610319858707	-3.4644709749474223	2.486122419043113e-12
id-1260_AU12-33	-244.99136631027974	10.738328745223807	56.97110549975298	-86.66750175121143	-92.87172373638658	-26.32945939465219	48.0186199702772	85.74795046266206	-54.64197820393681	96.04411543287294	100.51301913925091	26.693720386734046	88.5221860621288	-68.76031845998867	-46.8232780240458	-28.776722573745655	31.770404040527477	5.720783312103681	-7.5165188015774955	-14.138019109314339	14.392035026279997	-5.586449039572116	-48.32641643320228	36.09314969662183	-14.031916167622049	13.191797399732884	-5.060045922607332	21.949334967971957	20.339318742885713	-0.5738159579103964	4.404258008725191	-21.44722777071684	-26.13469287698377	-5.601812553844671	-25.494632738148017	5.146765437242985	4.603231358753001	-12.503555100455408	16.47065423498015	-30.528601301077583	-7.802489532443161	7.20551154938634	7.836371174566951	11.216698387780315	-19.710030684034926	-21.066775368369953	21.5548898763208	-3.3997610319858707	-3.4644709749474223	2.486122419043113e-12
id-1260_AU12-66_AU17-33	-244.99136631027974	10.738328745223807	56.97110549975298	-86.66750175121143	-92.87172373638658	-26.32945939465219	48.0186199702772	85.74795046266206	-54.64197820393681	96.04411543287294	100.51301913925091	26.693720386734046	88.5221860621288	-68.76031845998867	-46.8232780240458	-28.776722573745655	31.770404040527477	5.720783312103681	-7.5165188015774955	-14.138019109314339	14.392035026279997	-5.586449039572116	-48.32641643320228	36.09314969662183	-14.031916167622049	13.191797399732884	-5.060045922607332	21.949334967971957	20.339318742885713	-0.5738159579103964	4.404258008725191	-21.44722777071684	-26.13469287698377	-5.601812553844671	-25.494632738148017	5.146765437242985	4.603231358753001	-12.503555100455408	16.47065423498015	-30.528601301077583	-7.802489532443161	7.20551154938634	7.836371174566951	11.216698387780315	-19.710030684034926	-21.066775368369953	21.5548898763208	-3.3997610319858707	-3.4644709749474223	2.486122419043113e-12
id-1260_AU12-66_AU20-100_AU22-66_AU43-66	-244.99136631027974	10.738328745223807	56.97110549975298	-86.66750175121143	-92.87172373638658	-26.32945939465219	48.0186199702772	85.74795046266206	-54.64197820393681	96.04411543287294	100.51301913925091	26.693720386734046	88.5221860621288	-68.76031845998867	-46.8232780240458	-28.776722573745655	31.770404040527477	5.720783312103681	-7.5165188015774955	-14.138019109314339	14.392035026279997	-5.586449039572116	-48.32641643320228	36.09314969662183	-14.031916167622049	13.191797399732884	-5.060045922607332	21.949334967971957	20.339318742885713	-0.5738159579103964	4.404258008725191	-21.44722777071684	-26.13469287698377	-5.601812553844671	-25.494632738148017	5.146765437242985	4.603231358753001	-12.503555100455408	16.47065423498015	-30.528601301077583	-7.802489532443161	7.20551154938634	7.836371174566951	11.216698387780315	-19.710030684034926	-21.066775368369953	21.5548898763208	-3.3997610319858707	-3.4644709749474223	2.486122419043113e-12
id-1260_AU12-66_AU25-33	-244.99136631027974	10.738328745223807	56.97110549975298	-86.66750175121143	-92.87172373638658	-26.32945939465219	48.0186199702772	85.74795046266206	-54.64197820393681	96.04411543287294	100.51301913925091	26.693720386734046	88.5221860621288	-68.76031845998867	-46.8232780240458	-28.776722573745655	31.770404040527477	5.720783312103681	-7.5165188015774955	-14.138019109314339	14.392035026279997	-5.586449039572116	-48.32641643320228	36.09314969662183	-14.031916167622049	13.191797399732884	-5.060045922607332	21.949334967971957	20.339318742885713	-0.5738159579103964	4.404258008725191	-21.44722777071684	-26.13469287698377	-5.601812553844671	-25.494632738148017	5.146765437242985	4.603231358753001	-12.503555100455408	16.47065423498015	-30.528601301077583	-7.802489532443161	7.20551154938634	7.836371174566951	11.216698387780315	-19.710030684034926	-21.066775368369953	21.5548898763208	-3.3997610319858707	-3.4644709749474223	2.486122419043113e-12
id-1260_AU13-33_AU4-66	-244.99136631027974	10.738328745223807	56.97110549975298	-86.66750175121143	-92.87172373638658	-26.32945939465219	48.0186199702772	85.74795046266206	-54.64197820393681	96.04411543287294	100.51301913925091	26.693720386734046	88.5221860621288	-68.76031845998867	-46.8232780240458	-28.776722573745655	31.770404040527477	5.720783312103681	-7.5165188015774955	-14.138019109314339	14.392035026279997	-5.586449039572116	-48.32641643320228	36.09314969662183	-14.031916167622049	13.191797399732884	-5.060045922607332	21.949334967971957	20.339318742885713	-0.5738159579103964	4.404258008725191	-21.44722777071684	-26.13469287698377	-5.601812553844671	-25.494632738148017	5.146765437242985	4.603231358753001	-12.503555100455408	16.47065423498015	-30.528601301077583	-7.802489532443161	7.20551154938634	7.836371174566951	11.216698387780315	-19.710030684034926	-21.066775368369953	21.5548898763208	-3.3997610319858707	-3.4644709749474223	2.486122419043113e-12
id-1260_AU13-66_AU4-100_AU5-33_AU9-100	-244.99136631027974	10.738328745223807	56.97110549975298	-86.66750175121143	-92.87172373638658	-26.32945939465219	48.0186199702772	85.74795046266206	-54.64197820393681	96.04411543287294	100.51301913925091	26.693720386734046	88.5221860621288	-68.76031845998867	-46.8232780240458	-28.776722573745655	31.770404040527477	5.720783312103681	-7.5165188015774955	-14.138019109314339	14.392035026279997	-5.586449039572116	-48.32641643320228	36.09314969662183	-14.031916167622049	13.191797399732884	-5.060045922607332	21.949334967971957	20.339318742885713	-0.5738159579103964	4.404258008725191	-21.44722777071684	-26.13469287698377	-5.601812553844671	-25.494632738148017	5.146765437242985	4.603231358753001	-12.503555100455408	16.47065423498015	-30.528601301077583	-7.802489532443161	7.20551154938634	7.836371174566951	11.216698387780315	-19.710030684034926	-21.066775368369953	21.5548898763208	-3.3997610319858707	-3.4644709749474223	2.486122419043113e-12
