	comp_000	comp_001	comp_002	comp_003	comp_004	comp_005	comp_006	comp_007	comp_008	comp_009	comp_010	comp_011	comp_012	comp_013	comp_014	comp_015	comp_016	comp_017	comp_018	comp_019	comp_020	comp_021	comp_022	comp_023	comp_024	comp_025	comp_026	comp_027	comp_028	comp_029	comp_030	comp_031	comp_032	comp_033	comp_034	comp_035	comp_036	comp_037	comp_038	comp_039	comp_040	comp_041	comp_042	comp_043	comp_044	comp_045	comp_046	comp_047	comp_048	comp_049
id-1260_AU1-100_AU16Open-100_AU2-33	81.36503861605216	-174.47651804839654	54.83983472456691	137.25980761661685	-152.80704537877716	32.30521082964743	-52.583623445664344	2.229621343227176	0.3509364532074543	3.9023924587068546	35.105740674958085	1.5701405256311827	-34.29283320044306	26.772199040111765	19.62088503235834	-8.124509664070466	11.172178929932995	21.54492209367373	19.37055966784498	-14.065700279489427	3.8037375553753745	6.052303743283942	1.8353520828077714	4.158666418130521	-0.43012493105414334	3.7840659218768162	7.407847362229588	-6.086437223356453	-0.5761167200035231	3.7233955961759895	2.1585817673403644	-1.3484100306822189	-0.4557196941594872	3.968095044937275	1.5689838442157118	-0.2097017044679222	-1.4756951202621806	-1.7009317612041825	4.640864440218504	-5.481744354006049	2.3954083096239867	1.6430598806331271	2.683670566578521	-2.8673537943366347	0.9880194015005149	-5.888681396219768	-2.3436489002569543	-1.7664727016730974	3.3191592912226793	2.6293444720274666
id-1260_AU10Open-100_AU5-66	-275.32270792448725	-68.13256518487302	-149.5974818949704	75.45444724738009	-34.0638959881028	-35.373129333593056	45.593916419136015	-7.477640227227563	-20.01436530301619	-14.918673949385061	-23.225370091207335	19.179199684216712	-9.546719281749896	-12.862999217176755	-3.813363849761619	6.016598926272119	-25.91428947736745	-8.815758465958785	3.3745708895974103	37.43234679458095	2.356819515237256	-3.5867892298722044	-3.5826826082798733	10.794666437960716	2.5746409069346443	-2.08776460255868	-0.2308769434989617	-5.161317405302068	1.3571390275994586	-2.340643356634765	-2.8636762824018396	1.3343291912486281	-0.9491472429660115	1.3559664528570334	1.488359640123381	-1.406932619734071	1.7129947507287842	-0.1540501958471815	-2.380467498237749	-1.1635580496553504	1.2705622462911617	-0.9072283115040964	-1.433347442311649	-0.9140645170447868	-1.844894052345798	-1.2972140212408911	0.1468892298431832	-1.883080654315332	0.6437675817254596	-0.3457592444669626
id-1260_AU11-66_AU14-66_AU43-33	-221.50820598404462	5.9930897913630075	6.331651845280151	-17.16762787897846	33.69630512757554	-1.9028240436854054	-42.80236802327744	67.59116161955096	64.53467524666937	-45.92193065577684	-3.2680008125140536	-2.0848779340063768	24.838473355049054	-19.515883626507716	-20.460489316135973	25.930790177078723	15.931817957720503	3.17984503609594	4.7441050076805045	4.347195864704755	1.5805290033045303	2.564753045419909	0.984074673094721	3.0381993429760414	1.4859407852213213	-2.3860362120616845	0.16644266074496533	1.1515832221100375	1.5473275110306033	1.4852854041773627	-1.5281558328644782	-0.4968198806908092	0.8608284552646585	2.4846787934700867	0.14271196257912444	-0.5343491582767556	-1.3445522750070804	1.6761385608342696	-0.07048418211138374	-0.424593100796496	0.19834547419588933	-0.8344853038172004	-0.04611292483302015	2.294904876769499	-0.6987209708261637	0.9635062473151674	1.1120707480315042	-2.510184112329484	-2.8211774685173125	1.3394376328241249
id-1260_AU12-100_AU4-66_AU43-66	-318.74256208003357	238.7512929019175	-27.439678964432233	-12.313923034616302	110.80841450644843	72.26572268913347	-82.8961331343428	73.56652797885725	37.51053053816215	-16.622203904913928	-54.78875693294766	15.085858369323622	-20.066781275327454	15.855247460414098	8.310342848272736	-17.723188066308413	-12.364481180264656	1.5284299582822358	7.125555158080085	-0.5405093743036065	-1.8776570903507395	-4.869746836290221	4.233534430644941	-7.038334257207092	-10.217082727516601	-1.5928990348996324	0.2701533918617749	6.4521024022656235	-9.567016229239869	0.034208401797781174	-6.414267371418521	-1.375333160452028	2.1436090443533784	6.83397667805148	-4.584974744990257	-2.922809445695906	-1.7359295075355305	-4.413424910807653	1.5487071872951335	-6.618737287663416	7.476989211620597	5.23727750469916	-5.245731877520739	-8.926866442701318	-2.7455495662966505	0.08142583633474243	9.12362518291147	1.7736070927580496	1.937484957306081	-5.557330551778991
id-1260_AU12-33	-233.04780305784558	26.42406278295133	0.9669185586119983	-17.0577271271854	-22.54991554654791	-2.8802325042672408	-35.7520789468235	0.6183920683487806	-13.537698615837185	-32.685087128605794	-42.954364866789575	-21.458591473297616	-3.257078132212615	-3.9131029234404746	-3.2605239877708927	-11.7790908855337	-12.002500406315901	-4.715460664340617	-8.295432148731855	-6.399870212516752	0.8290381069914768	1.9713242563306772	2.0086711939849837	-5.32894594473464	-3.8191487548010525	-1.935890470658468	1.8265808253390563	0.5786649446126864	-4.313485203847395	1.048869835100433	-5.825008380503802	-1.007505266551032	-0.4532499549057538	3.460692338577156	0.10002588634200293	-1.735621812005805	-0.6223190280873752	-1.7991633659666508	1.851362127249665	-0.8947040796771357	-1.6183615068330834	0.1452804741410556	-1.8293585972690753	-2.3285150645829815	-0.1735017328251659	1.228576137547809	0.8592784808965683	1.245880693148311	-0.7508173791474437	0.2692865626460781
id-1260_AU12-66_AU17-33	-435.07488272120645	7.781822729124638	-78.6744775296276	-123.62184536683654	-43.997057037505485	62.97398853266825	3.12739647332793	-41.85257166010365	20.38361160975434	-7.6572020547706945	-42.01345721057382	-20.09669316715413	-11.038482317814553	-4.6316880087384025	-3.841510124052167	-0.12787640711963466	-4.857261379838806	3.538475657716069	-7.627907640230712	-3.987323807972608	5.793822342686156	0.7329311985287712	0.6437256047321359	-3.7344539482784405	-0.19209435337193975	0.22839565716282856	1.2717900199949634	1.185602655405861	-3.8602885933094613	4.956118083026687	-8.784938436057038	-1.6576533067236274	0.25761459743537096	0.6764461194361633	-3.3118381264553887	-3.1249378203115263	-3.029629136939871	-1.2167974032117796	1.1715062136962926	0.19315709481284812	-0.08398192641874047	0.27933667637430726	-1.888465403997108	-1.8641751088124585	0.6603017835865826	2.970376668179018	2.9351897121758377	0.5676101038672894	0.5889711631742751	-0.6147840110795368
id-1260_AU12-66_AU20-100_AU22-66_AU43-66	-202.48047857484204	366.15453599011147	156.1469516519617	28.814577213274337	30.69570578349724	32.72035388500709	-6.882675249041988	48.09195755245625	96.48193221825174	-21.31321575569079	-38.72814926523551	-17.084042962843856	-12.677431907584467	1.297557595778748	-2.2712166110822123	-16.3509712694214	-1.308830868045132	-16.037307669247802	-3.449748004805898	1.4575746386762765	-4.228263205407169	3.894369348257612	-7.522493822723868	1.7811563396984846	6.1003326723071485	-12.010514490732367	7.584687553721786	-3.813365865140055	-9.53900840169123	-6.6669402196394465	1.4630138429124906	5.680370208128708	-4.686999158218013	-7.815659697900228	-11.794725018632132	2.7329760889358905	-4.792203014457998	-1.4623748013097932	1.794774395317285	-3.7517495488751336	-2.3430184759573387	0.00177259292651466	-0.07412323482131938	3.7695231947463252	-2.5185311423449335	-0.24491202811767757	-0.7896467772433715	0.6168528832372863	-2.561161601755237	0.37875546570003227
id-1260_AU12-66_AU25-33	-162.87493131417884	28.862003637111506	7.7215398499537535	30.443874105980036	-44.06667584962329	26.185303282381415	-47.64799490893576	4.520558385373224	-23.53115931153848	-21.82979609661429	-26.875898059908696	-22.97315524192678	-10.60189526829606	-8.028083444811664	5.4250638453560915	-12.184970051248007	-6.63637900846312	-2.5862814196902804	-3.9162593769968215	-2.7537444853186526	-2.9221903200316306	2.7267610383509635	-1.156112698855778	-10.990673553252668	-0.26015176424298986	-2.982049415263492	-9.003671548396365	7.595576112417705	-4.055035271970099	-0.9835137120940504	-5.6785446766145755	0.8508577419464066	-3.1145387541836485	1.710205147915094	-0.6188729567059355	-2.202909258532411	-1.088008036573747	-1.7313283987318022	2.4115117003895374	-0.48040878750470417	-1.0420121898289634	0.24033204457794244	-1.8618810051852164	-2.3840836686362343	0.5502828101209557	1.7820331983992803	0.4278895176712776	1.023166295085104	0.016585090627223367	-0.3762621015999159
id-1260_AU13-33_AU4-66	-227.01744016237097	-98.39893525859733	52.79748510057361	-35.878167856303705	59.283686558289716	49.73803563191663	-31.39402777886332	9.966529279063112	-57.644768655085564	-8.43288551808481	10.623076731391837	10.57483378966838	-7.822876637614828	10.599659941092339	-4.520701307523174	9.852556334543193	-6.357621004484114	-22.65647598572933	-1.7120126829712472	-7.116059208554484	7.291563898635045	-3.515228377736098	-13.674329450101329	-5.769483024017651	-6.2766208828236065	0.9640503959843374	1.0173087542506531	-1.4759075718758163	2.368268017874783	2.4556906274945125	1.833652908741998	-3.3478309101357375	4.469981108810118	0.14978756322657222	-1.140320982917729	-1.0348153332723715	-1.086046585812877	-1.119146745431463	-1.6825872851047485	-4.0299922398570205	1.1477553409261694	1.342637491104855	1.0231188144845211	1.4665806447771321	0.9631291412433861	3.4119328354248246	0.009447008297020831	-0.6949748317089026	1.389037240902788	0.39626168254368976
id-1260_AU13-66_AU4-100_AU5-33_AU9-100	-339.1623637603492	99.07845089571059	-61.793104626214344	-2.3860576590500284	80.79542817319506	6.334854802677819	4.996715585356609	-17.266253355913722	-77.49812136469023	0.51549629485914	56.020785906905715	-12.299696880005937	-12.12701761852306	43.10002492708704	6.542825094440575	19.630768643776374	1.9248515579407097	-30.663269625854856	4.434954731438446	35.027239437176	7.052024251312443	-23.12466263569121	-11.26702752639336	-1.1978557051469847	-8.264231715505431	-1.9434211826866024	-3.6857409677584245	-6.079404550265228	-1.0294693485541102	-0.17583492283556656	-4.389447111161534	-7.064984681887761	-3.153705448601319	1.4713928993650771	2.6516578830475326	-1.760591096424844	0.5713210060521963	2.1699847263295244	0.2948574170877938	-6.66715976992302	3.1126920508764706	1.7764442637786075	6.5739095478961165	-3.0317936053614805	-3.8465807431749672	1.178119797408523	2.433836173333625	-1.3301581409376533	3.804439918086926	0.5171578332478279
