	rep	session	run	block	trial	data_split	trial_type	rating_type	rating	rating_intensity	rating_RT
id-1367_AU11-33_AU13-33_AU14-66_AU5-33	1	1	1	1	1	test_extra	id-1367_AU11-33_AU13-33_AU14-66_AU5-33	emotion	Blij	0.20815990866817344	6.2371881133367415
id-1285_AU11-66_AU4-33	1	1	1	1	2	test_extra	id-1285_AU11-66_AU4-33	emotion	Walging	0.08541142513191048	2.1864727413667424
id-1366_AU22-66_AU43-66	1	1	1	1	3	test_extra	id-1366_AU22-66_AU43-66	emotion	Geen van allen	0.0	2.961825295777089
id-1344_AU12-66_AU22-66_AU26-100_AU27i-33	1	1	1	1	4	train	id-1344_AU12-66_AU22-66_AU26-100_AU27i-33	emotion	Verrassing	0.21400040048664606	4.370347999378282
id-1260_AU12-66_AU25-33	1	1	1	1	5	test	id-1260_AU12-66_AU25-33	emotion	Blij	0.3361519919818055	0.9950908922983216
id-1307_AU10Open-66_AU17-33_AU22-33_AU9-100	1	1	1	1	6	test	id-1307_AU10Open-66_AU17-33_AU22-33_AU9-100	emotion	Boos	0.5018272662970876	1.3948467499903927
id-1270_AU14-66_AU15-100_AU43-33	1	1	1	1	7	test_extra	id-1270_AU14-66_AU15-100_AU43-33	emotion	Geen van allen	0.0	3.286523694903736
id-1264_AU10Open-33_AU25-66_AU4-66	1	1	1	1	8	test	id-1264_AU10Open-33_AU25-66_AU4-66	emotion	Bang	0.3725266999419902	5.245259479681408
id-1274_AU26-100_AU9-33	1	1	1	1	9	test_extra	id-1274_AU26-100_AU9-33	emotion	Boos	0.5738470329575014	1.7865605215156393
id-1376_AU10Open-100_AU11-66_AU25-33_AU27i-66_AU9-100	1	1	1	1	10	test_extra	id-1376_AU10Open-100_AU11-66_AU25-33_AU27i-66_AU9-100	emotion	Boos	0.6156982581146319	5.087155301433086
id-1362_AU11-33_AU13-66_AU17-33_AU2-100_AU22-33	1	1	1	1	11	test_extra	id-1362_AU11-33_AU13-66_AU17-33_AU2-100_AU22-33	emotion	Geen van allen	0.0	2.6704616185234045
id-1270_AU10Open-66_AU12-33_AU14-33	1	1	1	1	12	train	id-1270_AU10Open-66_AU12-33_AU14-33	emotion	Blij	0.12754498455558802	3.4036718543902684
id-1354_AU12-66_AU15-66_AU2-66_AU5-66_AU9-66	1	1	1	1	13	test_extra	id-1354_AU12-66_AU15-66_AU2-66_AU5-66_AU9-66	emotion	Walging	0.07747123275254958	4.9203760419331966
id-1361_AU1-66_AU17-66_AU6-66_AU7-100	1	1	1	1	14	test_extra	id-1361_AU1-66_AU17-66_AU6-66_AU7-100	emotion	Verdrietig	0.0844326325374805	2.5199530792779115
id-1335_AU1-66	1	1	1	1	15	test_extra	id-1335_AU1-66	emotion	Verrassing	0.2525160952494659	3.0616676658137294
id-1341_AU14-33_AU4-100_AU7-66	1	1	1	1	16	test_extra	id-1341_AU14-33_AU4-100_AU7-66	emotion	Boos	0.455450320523035	3.611839090663125
id-1363_AU1-100_AU25-66_AU5-66	1	1	1	1	17	test_extra	id-1363_AU1-100_AU25-66_AU5-66	emotion	Verrassing	0.5216216513373766	3.2617167478383635
id-1295_AU10Open-66_AU20-66_AU27i-66	1	1	1	1	18	test_extra	id-1295_AU10Open-66_AU20-66_AU27i-66	emotion	Bang	0.4504540977938248	10.496013972377114
id-1367_AU17-66_AU9-100	1	1	1	1	19	test_extra	id-1367_AU17-66_AU9-100	emotion	Boos	0.14798205532767536	1.7948782035382465
id-1291_AU12-33_AU17-100_AU5-66	1	1	1	1	20	train	id-1291_AU12-33_AU17-100_AU5-66	emotion	Blij	0.423138613919744	1.7363999635381333
id-1260_AU11-66_AU14-66_AU43-33	1	1	1	1	21	test_extra	id-1260_AU11-66_AU14-66_AU43-33	emotion	Verdrietig	0.056004207761997334	2.0616444227925967
id-1285_AU16Open-33_AU5-33	1	1	1	1	22	test	id-1285_AU16Open-33_AU5-33	emotion	Bang	0.38495683417273385	2.92001049256578
id-1347_AU17-66_AU26-100_AU27i-100_AU9-33	1	1	1	1	23	train	id-1347_AU17-66_AU26-100_AU27i-100_AU9-33	emotion	Verrassing	0.5400451535615541	2.8866975044220453
id-1366_AU14-33_AU25-33	1	1	1	1	24	test_extra	id-1366_AU14-33_AU25-33	emotion	Geen van allen	0.0	0.7280348898893862
id-1373_AU7-66	1	1	1	1	25	train	id-1373_AU7-66	emotion	Geen van allen	0.0	2.1200112773949518
id-1306_AU15-66_AU26-66_AU5-66	1	1	1	1	26	test_extra	id-1306_AU15-66_AU26-66_AU5-66	emotion	Verrassing	0.19626625888133328	0.9780773008642428
id-1344_AU12-66_AU20-33	1	1	1	1	27	train	id-1344_AU12-66_AU20-33	emotion	Geen van allen	0.0	4.2202237246674486
id-1289_AU20-33_AU26-66_AU9-66	1	1	1	1	28	test_extra	id-1289_AU20-33_AU26-66_AU9-66	emotion	Walging	0.23540631364922115	0.8279276701250637
id-1373_AU11-33_AU13-100_AU16Open-66_AU43-33	1	1	1	1	29	test	id-1373_AU11-33_AU13-100_AU16Open-66_AU43-33	emotion	Geen van allen	0.0	1.3530892996968762
id-1367_AU25-66_AU4-66_AU6-33	1	1	1	1	30	test	id-1367_AU25-66_AU4-66_AU6-33	emotion	Verdrietig	0.3253515496004162	2.0116432455470203
id-1279_AU11-33_AU12-100_AU15-33_AU26-66_AU43-100	1	1	1	1	31	test_extra	id-1279_AU11-33_AU12-100_AU15-33_AU26-66_AU43-100	emotion	Blij	0.5527524174613551	1.3029450420217472
id-1293_AU14-33_AU15-33_AU43-66	1	1	1	1	32	train	id-1293_AU14-33_AU15-33_AU43-66	emotion	Geen van allen	0.0	4.736818337958539
id-1356_AU12-33_AU43-33	1	1	1	1	33	test_extra	id-1356_AU12-33_AU43-33	emotion	Geen van allen	0.0	1.7783273595741775
