	rep	session	run	block	trial	data_split	trial_type	rating_type	rating	rating_intensity	rating_RT
id-1296_AU1-33_AU14-66_AU15-66_AU5-100	1	1	1	1	1	train	id-1296_AU1-33_AU14-66_AU15-66_AU5-100	valence	-0.7309932172525271		4.760736781512605
id-1296_AU1-33_AU14-66_AU15-66_AU5-100	1	1	1	1	1	train	id-1296_AU1-33_AU14-66_AU15-66_AU5-100	arousal	0.23913532757703485		4.760736781512605
id-1295_AU1-33_AU16Open-100_AU22-66_AU4-33	1	1	1	1	2	test_extra	id-1295_AU1-33_AU16Open-100_AU22-66_AU4-33	valence	-0.6603395977411303		1.177083053487877
id-1295_AU1-33_AU16Open-100_AU22-66_AU4-33	1	1	1	1	2	test_extra	id-1295_AU1-33_AU16Open-100_AU22-66_AU4-33	arousal	0.20652596472562101		1.177083053487877
id-1290_AU1-66_AU22-33_AU25-66	1	1	1	1	3	test_extra	id-1290_AU1-66_AU22-33_AU25-66	valence	-0.0027174469042844872		1.710428300058993
id-1290_AU1-66_AU22-33_AU25-66	1	1	1	1	3	test_extra	id-1290_AU1-66_AU22-33_AU25-66	arousal	0.0		1.710428300058993
id-1294_AU11-66_AU43-33_AU5-33	1	1	1	1	4	test_extra	id-1294_AU11-66_AU43-33_AU5-33	valence	-0.4538136330155093		3.418985094665913
id-1294_AU11-66_AU43-33_AU5-33	1	1	1	1	4	test_extra	id-1294_AU11-66_AU43-33_AU5-33	arousal	0.09782808855424154		3.418985094665913
id-1296_AU22-66_AU24-66_AU25-66_AU5-66_AU6-100	1	1	1	1	5	test_extra	id-1296_AU22-66_AU24-66_AU25-66_AU5-66_AU6-100	valence	-0.5543591684740353		1.1102977776463376
id-1296_AU22-66_AU24-66_AU25-66_AU5-66_AU6-100	1	1	1	1	5	test_extra	id-1296_AU22-66_AU24-66_AU25-66_AU5-66_AU6-100	arousal	0.8478434341367599		1.1102977776463376
id-1290_AU22-33	1	1	1	1	6	train	id-1290_AU22-33	valence	-0.013587234521422437		1.1937059460451565
id-1290_AU22-33	1	1	1	1	6	train	id-1290_AU22-33	arousal	0.0054348938085689745		1.1937059460451565
id-1302_AU1-100_AU11-66_AU13-33_AU24-33	1	1	1	1	7	test_extra	id-1302_AU1-100_AU11-66_AU13-33_AU24-33	valence	-0.1277200045013709		4.994247233718852
id-1302_AU1-100_AU11-66_AU13-33_AU24-33	1	1	1	1	7	test_extra	id-1302_AU1-100_AU11-66_AU13-33_AU24-33	arousal	0.4674008675369317		4.994247233718852
id-1335_AU43-66_AU5-66	1	1	1	1	8	test	id-1335_AU43-66_AU5-66	valence	0.201091070917052		2.7523403628474625
id-1335_AU43-66_AU5-66	1	1	1	1	8	test	id-1335_AU43-66_AU5-66	arousal	-0.8451259872324756		2.7523403628474625
id-1358_AU1-66_AU13-100_AU24-33_AU26-33	1	1	1	1	9	test_extra	id-1358_AU1-66_AU13-100_AU24-33_AU26-33	valence	-0.7771898146253633		2.4110553449445438
id-1358_AU1-66_AU13-100_AU24-33_AU26-33	1	1	1	1	9	test_extra	id-1358_AU1-66_AU13-100_AU24-33_AU26-33	arousal	0.6576221508368458		2.4110553449445438
id-1264_AU14-66_AU15-66_AU20-66_AU6-33	1	1	1	1	10	test_extra	id-1264_AU14-66_AU15-66_AU20-66_AU6-33	valence	-0.4375089515898024		2.7438518781928
id-1264_AU14-66_AU15-66_AU20-66_AU6-33	1	1	1	1	10	test_extra	id-1264_AU14-66_AU15-66_AU20-66_AU6-33	arousal	0.44566129230265583		2.7438518781928
id-1311_AU10Open-66_AU16Open-66_AU25-100_AU26-33	1	1	1	1	11	test_extra	id-1311_AU10Open-66_AU16Open-66_AU25-100_AU26-33	valence	-0.9130621598395876		2.1941104327070207
