	rep	session	run	block	trial	data_split	trial_type	rating_type	rating	rating_intensity	rating_RT
id-1342_AU12-100_AU20-100_AU6-66	1	1	1	1	1	train	id-1342_AU12-100_AU20-100_AU6-66	valence	-0.0027174469042844872		3.452347999798804
id-1342_AU12-100_AU20-100_AU6-66	1	1	1	1	1	train	id-1342_AU12-100_AU20-100_AU6-66	arousal	-0.4347915046855179		3.452347999798804
id-1260_AU12-66_AU25-33	1	1	1	1	2	test	id-1260_AU12-66_AU25-33	valence	-0.06793617260711217		1.893893187147114
id-1260_AU12-66_AU25-33	1	1	1	1	2	test	id-1260_AU12-66_AU25-33	arousal	0.09511064164995704		1.893893187147114
id-1264_AU14-66_AU15-66_AU20-66_AU6-33	1	1	1	1	3	test_extra	id-1264_AU14-66_AU15-66_AU20-66_AU6-33	valence	0.100545535458526		4.2025270757021636
id-1264_AU14-66_AU15-66_AU20-66_AU6-33	1	1	1	1	3	test_extra	id-1264_AU14-66_AU15-66_AU20-66_AU6-33	arousal	0.14130723902279332		4.2025270757021636
id-1376_AU14-33_AU17-33_AU2-100_AU27i-33_AU43-66	1	1	1	1	4	test_extra	id-1376_AU14-33_AU17-33_AU2-100_AU27i-33_AU43-66	valence	0.524467252526906		4.102437454739629
id-1376_AU14-33_AU17-33_AU2-100_AU27i-33_AU43-66	1	1	1	1	4	test_extra	id-1376_AU14-33_AU17-33_AU2-100_AU27i-33_AU43-66	arousal	0.3913123542169661		4.102437454739629
id-1360_AU1-100_AU11-66	1	1	1	1	5	test	id-1360_AU1-100_AU11-66	valence	-0.00815234071285346		2.4689298399771356
id-1360_AU1-100_AU11-66	1	1	1	1	5	test	id-1360_AU1-100_AU11-66	arousal	0.4619659737283627		2.4689298399771356
id-1294_AU10Open-66_AU27i-66_AU43-33_AU7-66	1	1	1	1	6	train	id-1294_AU10Open-66_AU27i-66_AU43-33_AU7-66	valence	-0.00815234071285346		6.069456397091926
id-1294_AU10Open-66_AU27i-66_AU43-33_AU7-66	1	1	1	1	6	train	id-1294_AU10Open-66_AU27i-66_AU43-33_AU7-66	arousal	0.8179515181896305		6.069456397091926
id-1293_AU15-33_AU17-100_AU27i-33_AU7-100	1	1	1	1	7	test_extra	id-1293_AU15-33_AU17-100_AU27i-33_AU7-100	valence	-0.524467252526906		2.1937998231715032
id-1293_AU15-33_AU17-100_AU27i-33_AU7-100	1	1	1	1	7	test_extra	id-1293_AU15-33_AU17-100_AU27i-33_AU7-100	arousal	0.6358825756025699		2.1937998231715032
id-1373_AU1-66	1	1	1	1	8	train	id-1373_AU1-66	valence	0.3179412878012849		5.727747271903354
id-1373_AU1-66	1	1	1	1	8	train	id-1373_AU1-66	arousal	0.3478332037484143		5.727747271903354
id-1345_AU17-66_AU25-66_AU6-100	1	1	1	1	9	test	id-1345_AU17-66_AU25-66_AU6-100	valence	-0.3641378851741212		3.168952267857094
id-1345_AU17-66_AU25-66_AU6-100	1	1	1	1	9	test	id-1345_AU17-66_AU25-66_AU6-100	arousal	0.41305192945124203		3.168952267857094
id-1315_AU27i-66	1	1	1	1	10	train	id-1315_AU27i-66	valence	-0.5054451241969146		2.6939056236024044
id-1315_AU27i-66	1	1	1	1	10	train	id-1315_AU27i-66	arousal	-0.5326195932397594		2.6939056236024044
id-1376_AU13-66_AU22-100_AU27i-33_AU6-33	1	1	1	1	11	test_extra	id-1376_AU13-66_AU22-100_AU27i-33_AU6-33	valence	-0.0027174469042844872		2.5688793998870096
id-1376_AU13-66_AU22-100_AU27i-33_AU6-33	1	1	1	1	11	test_extra	id-1376_AU13-66_AU22-100_AU27i-33_AU6-33	arousal	-0.7581676862953719		2.5688793998870096
id-1270_AU1-100_AU11-33_AU24-33_AU6-33	1	1	1	1	12	train	id-1270_AU1-100_AU11-33_AU24-33_AU6-33	valence	0.0		1.7771981812584272
