	rep	session	run	block	trial	data_split	trial_type	rating_type	rating	rating_intensity	rating_RT
id-1291_AU10Open-66_AU15-33_AU20-100_AU4-100	1	1	1	1	1	train	id-1291_AU10Open-66_AU15-33_AU20-100_AU4-100	emotion	Walging	0.6321935259464225	1.2530136520281303
id-1339_AU11-100_AU20-100_AU4-33	1	1	1	1	2	test_extra	id-1339_AU11-100_AU20-100_AU4-33	emotion	Boos	0.5270617154819962	1.3947346099621427
id-1376_AU16Open-100_AU43-66_AU5-33	1	1	1	1	3	train	id-1376_AU16Open-100_AU43-66_AU5-33	emotion	Blij	0.2418172688372072	2.8781562411231785
id-1373_AU1-66	1	1	1	1	4	test_extra	id-1373_AU1-66	emotion	Verrassing	0.1804546016899212	1.619649720587404
id-1293_AU1-33_AU22-33_AU27i-100	1	1	1	1	5	test_extra	id-1293_AU1-33_AU22-33_AU27i-100	emotion	Verrassing	0.6792538415739178	0.9863014856437076
id-1341_AU1-33_AU15-33_AU2-66_AU4-33	1	1	1	1	6	test	id-1341_AU1-33_AU15-33_AU2-66_AU4-33	emotion	Verdrietig	0.5283933880234727	1.7120085147462305
id-1361_AU16Open-33_AU24-66_AU25-100	1	1	1	1	7	test_extra	id-1361_AU16Open-33_AU24-66_AU25-100	emotion	Boos	0.3687104133225816	1.3780087846052993
id-1290_AU22-33	1	1	1	1	8	test_extra	id-1290_AU22-33	emotion	Geen van allen	0.0	0.8778942303597432
id-1311_AU16Open-100_AU43-100_AU6-66_AU9-100	1	1	1	1	9	test	id-1311_AU16Open-100_AU43-100_AU6-66_AU9-100	emotion	Boos	0.6586309257999569	1.2111242284190666
id-1310_AU13-66_AU14-100_AU4-66_AU9-33	1	1	1	1	10	test_extra	id-1310_AU13-66_AU14-100_AU4-66_AU9-33	emotion	Verdrietig	0.5338310829136258	1.9781015750522783
id-1380_AU10Open-33_AU13-33_AU16Open-100_AU22-33_AU43-66	1	1	1	1	11	test	id-1380_AU10Open-33_AU13-33_AU16Open-100_AU22-33_AU43-66	emotion	Blij	0.454755208496036	1.4280697443673491
id-1323_AU22-33_AU5-100_AU9-66	1	1	1	1	12	train	id-1323_AU22-33_AU5-100_AU9-66	emotion	Boos	0.2424073861888888	1.3613152578100198
id-1270_AU26-100	1	1	1	1	13	train	id-1270_AU26-100	emotion	Verrassing	0.599228306785843	1.1197488801908548
id-1294_AU16Open-100_AU20-33_AU43-33	1	1	1	1	14	train	id-1294_AU16Open-100_AU20-33_AU43-33	emotion	Blij	0.37438759716184666	0.9863392176075648
id-1307_AU17-66_AU2-100_AU7-66	1	1	1	1	15	train	id-1307_AU17-66_AU2-100_AU7-66	emotion	Verrassing	0.28678273111070657	7.8289051602541795
id-1274_AU10Open-66_AU2-33_AU43-100_AU9-66	1	1	1	1	16	test	id-1274_AU10Open-66_AU2-33_AU43-100_AU9-66	emotion	Boos	0.9185999817376436	1.7696880109851918
id-1285_AU26-33_AU5-100	1	1	1	1	17	test_extra	id-1285_AU26-33_AU5-100	emotion	Verrassing	0.8763029432198112	1.011442746573266
id-1367_AU17-66	1	1	1	1	18	test_extra	id-1367_AU17-66	emotion	Geen van allen	0.0	1.2449230132078808
id-1297_AU1-66_AU11-66	1	1	1	1	19	test_extra	id-1297_AU1-66_AU11-66	emotion	Walging	0.10092329187416177	1.1697038885959046
id-1339_AU22-33_AU25-100_AU27i-100_AU4-66	1	1	1	1	20	test_extra	id-1339_AU22-33_AU25-100_AU27i-100_AU4-66	emotion	Blij	0.8057643873548256	0.886467838329736
id-1274_AU14-33_AU6-33	1	1	1	1	21	train	id-1274_AU14-33_AU6-33	emotion	Blij	0.07496761255799951	4.161745764436091
id-1269_AU15-66_AU16Open-66_AU26-33_AU27i-100	1	1	1	1	22	test	id-1269_AU15-66_AU16Open-66_AU26-33_AU27i-100	emotion	Verrassing	0.7322057761373283	1.4531147133229751
id-1293_AU1-100_AU12-33_AU13-33_AU22-100	1	1	1	1	23	test_extra	id-1293_AU1-100_AU12-33_AU13-33_AU22-100	emotion	Blij	0.4771261437056041	1.1698517978984455
id-1279_AU12-100	1	1	1	1	24	test_extra	id-1279_AU12-100	emotion	Blij	0.8597304721397453	0.819675317952715
id-1355_AU13-66_AU14-100_AU15-100_AU7-33	1	1	1	1	25	test	id-1355_AU13-66_AU14-100_AU15-100_AU7-33	emotion	Verdrietig	0.6429726601155533	1.4614960392009384
id-1302_AU1-100_AU11-66_AU13-33_AU24-33	1	1	1	1	26	train	id-1302_AU1-100_AU11-66_AU13-33_AU24-33	emotion	Verdrietig	0.7691251702050529	0.8611264470582682
id-1318_AU24-33	1	1	1	1	27	test_extra	id-1318_AU24-33	emotion	Verdrietig	0.02473980743496736	1.1528506801269032
id-1360_AU16Open-33_AU20-66	1	1	1	1	28	test_extra	id-1360_AU16Open-33_AU20-66	emotion	Bang	0.19096564703496144	2.053164338402894
id-1269_AU11-100_AU25-33_AU43-66	1	1	1	1	29	train	id-1269_AU11-100_AU25-33_AU43-66	emotion	Boos	0.4166269092632537	0.8530246395766881
id-1270_AU10Open-33_AU16Open-33_AU22-100_AU7-66	1	1	1	1	30	train	id-1270_AU10Open-33_AU16Open-33_AU22-100_AU7-66	emotion	Walging	0.582188298978015	10.637666280996198
id-1289_AU10Open-33_AU2-66_AU24-66	1	1	1	1	31	train	id-1289_AU10Open-33_AU2-66_AU24-66	emotion	Boos	0.6155055273265816	1.3281153547659414
id-1367_AU11-100_AU16Open-66_AU25-100	1	1	1	1	32	test_extra	id-1367_AU11-100_AU16Open-66_AU25-100	emotion	Boos	0.7092352729591425	1.095304302259137
id-1295_AU24-100_AU25-100	1	1	1	1	33	test_extra	id-1295_AU24-100_AU25-100	emotion	Bang	0.4245683644756815	4.103457425213492
id-1294_AU11-66_AU43-33_AU5-33	1	1	1	1	34	train	id-1294_AU11-66_AU43-33_AU5-33	emotion	Blij	0.06881621884851874	1.3949099881338043
id-1360_AU12-100_AU43-66_AU7-33	1	1	1	1	35	test_extra	id-1360_AU12-100_AU43-66_AU7-33	emotion	Blij	0.3918918950430111	0.9281257386037396
id-1273_AU1-33_AU13-33_AU26-33	1	1	1	1	36	test	id-1273_AU1-33_AU13-33_AU26-33	emotion	Blij	0.4851631984932648	1.286358143961479
id-1279_AU1-33_AU14-33_AU26-33	1	1	1	2	1	test_extra	id-1279_AU1-33_AU14-33_AU26-33	emotion	Blij	0.4061945877812945	1.6865940743909955
id-1354_AU14-66_AU7-100	1	1	1	2	2	train	id-1354_AU14-66_AU7-100	emotion	Verdrietig	0.13418312524945109	1.5198698035910638
id-1378_AU1-66_AU20-66_AU7-33	1	1	1	2	3	test	id-1378_AU1-66_AU20-66_AU7-33	emotion	Bang	0.2478140201617728	1.4447717231214483
id-1362_AU1-100_AU26-66	1	1	1	2	4	test_extra	id-1362_AU1-100_AU26-66	emotion	Verrassing	0.7284800555564187	1.3112600333060982
id-1315_AU5-33_AU6-66	1	1	1	2	5	test_extra	id-1315_AU5-33_AU6-66	emotion	Boos	0.022548007594980213	1.4113898010800767
id-1345_AU12-33_AU27i-66_AU7-100_AU9-66	1	1	1	2	6	test_extra	id-1345_AU12-33_AU27i-66_AU7-100_AU9-66	emotion	Boos	0.5060763302697863	0.6946225309338843
id-1377_AU24-100	1	1	1	2	7	test_extra	id-1377_AU24-100	emotion	Verdrietig	0.23259668515815946	1.311323724862632
id-1335_AU1-33_AU14-66_AU27i-66_AU7-100	1	1	1	2	8	test_extra	id-1335_AU1-33_AU14-66_AU27i-66_AU7-100	emotion	Blij	0.7039579965212929	0.7861934816673966
id-1273_AU10Open-66_AU12-66_AU25-66	1	1	1	2	9	test_extra	id-1273_AU10Open-66_AU12-66_AU25-66	emotion	Blij	0.5156081067719115	1.2868145498077863
