	rep	session	run	block	trial	data_split	trial_type	rating_type	rating	rating_intensity	rating_RT
id-1362_AU17-33_AU5-33	1	1	1	1	1	test_extra	id-1362_AU17-33_AU5-33	emotion	Verrassing	0.4712761407129468	4.153468855253777
id-1291_AU4-100_AU43-33_AU7-66	1	1	1	1	2	test	id-1291_AU4-100_AU43-33_AU7-66	emotion	Verdrietig	0.5177188579108359	1.2529957842589283
id-1270_AU10Open-66_AU12-33_AU14-33	1	1	1	1	3	train	id-1270_AU10Open-66_AU12-33_AU14-33	emotion	Blij	0.6919787117847901	1.194693527149866
id-1264_AU1-100_AU4-100	1	1	1	1	4	test_extra	id-1264_AU1-100_AU4-100	emotion	Verdrietig	0.3920448298977266	2.119782167590074
id-1342_AU1-100_AU14-100_AU15-66_AU5-100_AU7-100	1	1	1	1	5	test	id-1342_AU1-100_AU14-100_AU15-66_AU5-100_AU7-100	emotion	Blij	0.2740582538987593	3.4032863824254487
id-1363_AU2-100_AU25-100_AU26-100_AU27i-66	1	1	1	1	6	train	id-1363_AU2-100_AU25-100_AU26-100_AU27i-66	emotion	Verrassing	0.8809952676568381	1.7281188062625006
id-1380_AU12-66_AU4-33	1	1	1	1	7	test_extra	id-1380_AU12-66_AU4-33	emotion	Walging	0.3663396449417377	3.811685626333201
id-1341_AU11-33_AU13-100_AU43-33_AU5-66	1	1	1	1	8	train	id-1341_AU11-33_AU13-100_AU43-33_AU5-66	emotion	Walging	0.536301855810096	2.2365065192152542
id-1260_AU13-33_AU4-66	1	1	1	1	9	test_extra	id-1260_AU13-33_AU4-66	emotion	Verdrietig	0.420397086395106	0.9529452533220136
id-1341_AU14-33_AU4-100_AU7-66	1	1	1	1	10	train	id-1341_AU14-33_AU4-100_AU7-66	emotion	Verrassing	0.3916939171676848	2.2032152648102965
id-1358_AU2-33_AU4-33_AU9-100	1	1	1	1	11	test_extra	id-1358_AU2-33_AU4-33_AU9-100	emotion	Boos	0.2377990328924528	1.56966266222571
id-1302_AU20-66_AU4-33_AU5-33	1	1	1	1	12	train	id-1302_AU20-66_AU4-33_AU5-33	emotion	Boos	0.3633233442428573	1.1696191343817188
id-1291_AU15-100_AU22-66	1	1	1	1	13	test_extra	id-1291_AU15-100_AU22-66	emotion	Walging	0.18087420613574312	4.720192331492399
id-1344_AU13-100_AU16Open-66_AU43-100	1	1	1	1	14	test_extra	id-1344_AU13-100_AU16Open-66_AU43-100	emotion	Blij	0.5032391135986266	2.0779492529331947
id-1347_AU13-100_AU14-66_AU17-100_AU27i-66_AU7-100	1	1	1	1	15	test	id-1347_AU13-100_AU14-66_AU17-100_AU27i-66_AU7-100	emotion	Blij	0.1086252945696456	0.8698451048680909
id-1363_AU1-33_AU15-100_AU2-66_AU22-66_AU5-100	1	1	1	1	16	test	id-1363_AU1-33_AU15-100_AU2-66_AU22-66_AU5-100	emotion	Bang	0.4545044541284269	1.1530039947815571
id-1269_AU16Open-66_AU5-100	1	1	1	1	17	test_extra	id-1269_AU16Open-66_AU5-100	emotion	Boos	0.543860683296164	1.7279521809500693
id-1297_AU22-66_AU9-100	1	1	1	1	18	train	id-1297_AU22-66_AU9-100	emotion	Boos	0.6284542524069919	1.1030025156801455
id-1315_AU10Open-100_AU12-66_AU43-100	1	1	1	1	19	train	id-1315_AU10Open-100_AU12-66_AU43-100	emotion	Blij	0.30717145730474993	3.4533162361276477
id-1294_AU12-33_AU13-33_AU15-100_AU22-33	1	1	1	1	20	train	id-1294_AU12-33_AU13-33_AU15-100_AU22-33	emotion	Blij	0.5359872261101902	1.2030646379430436
id-1290_AU22-33	1	1	1	1	21	test_extra	id-1290_AU22-33	emotion	Geen van allen	0.0	0.9779456910150656
id-1355_AU24-66_AU25-100_AU43-33	1	1	1	1	22	train	id-1355_AU24-66_AU25-100_AU43-33	emotion	Verdrietig	0.5228180664107737	1.6864165958813828
id-1373_AU11-33_AU13-100_AU16Open-66_AU43-33	1	1	1	1	23	test	id-1373_AU11-33_AU13-100_AU16Open-66_AU43-33	emotion	Bang	0.16237888897431954	0.7946998057850578
id-1355_AU13-66_AU2-66_AU6-33	1	1	1	1	24	train	id-1355_AU13-66_AU2-66_AU6-33	emotion	Walging	0.2401406209922589	1.0862119969015112
id-1309_AU10Open-100_AU2-100_AU27i-33	1	1	1	1	25	test_extra	id-1309_AU10Open-100_AU2-100_AU27i-33	emotion	Verrassing	0.8748756834202807	1.0196515236862072
id-1342_AU10Open-66_AU25-66_AU26-33_AU5-100	1	1	1	1	26	test_extra	id-1342_AU10Open-66_AU25-66_AU26-33_AU5-100	emotion	Boos	0.8020518068582687	1.0279752428596112
id-1356_AU24-33_AU27i-33	1	1	1	1	27	test_extra	id-1356_AU24-33_AU27i-33	emotion	Verrassing	0.3357520407105579	1.1863290572205187
id-1318_AU1-33_AU16Open-33_AU20-100_AU43-66	1	1	1	1	28	train	id-1318_AU1-33_AU16Open-33_AU20-100_AU43-66	emotion	Boos	0.2754813280591369	3.836651954134596
id-1269_AU10Open-66_AU20-66_AU26-66_AU43-66	1	1	1	1	29	test	id-1269_AU10Open-66_AU20-66_AU26-66_AU43-66	emotion	Walging	0.24701299673937585	3.811687739334957
id-1361_AU13-66_AU6-33	1	1	1	1	30	train	id-1361_AU13-66_AU6-33	emotion	Walging	0.4836271088311759	1.6614798501095718
id-1344_AU17-33_AU6-33_AU7-33	1	1	1	1	31	test_extra	id-1344_AU17-33_AU6-33_AU7-33	emotion	Boos	0.12706631333594126	1.2696085089992266
id-1293_AU17-66_AU22-100_AU26-100_AU5-100	1	1	1	1	32	train	id-1293_AU17-66_AU22-100_AU26-100_AU5-100	emotion	Bang	0.8924643407982065	3.1116769932100405
id-1289_AU14-33_AU25-100_AU27i-66_AU7-33	1	1	1	1	33	test_extra	id-1289_AU14-33_AU25-100_AU27i-66_AU7-33	emotion	Verrassing	0.5763403065076024	1.0697441637371412
id-1355_AU13-66_AU14-100_AU15-100_AU7-33	1	1	1	1	34	test	id-1355_AU13-66_AU14-100_AU15-100_AU7-33	emotion	Blij	0.15767162289280348	3.7200287247551382
id-1290_AU10Open-33_AU2-66_AU9-33	1	1	1	1	35	test_extra	id-1290_AU10Open-33_AU2-66_AU9-33	emotion	Walging	0.5124851796959725	1.0364456647535008
id-1297_AU20-33_AU22-33_AU26-66	1	1	1	1	36	train	id-1297_AU20-33_AU22-33_AU26-66	emotion	Verrassing	0.44237984724096097	1.2113952998379318
id-1377_AU14-33_AU5-100_AU6-66	1	1	1	2	1	test_extra	id-1377_AU14-33_AU5-100_AU6-66	emotion	Blij	0.3052052493788132	1.003006500198353
id-1302_AU12-66_AU43-33	1	1	1	2	2	test_extra	id-1302_AU12-66_AU43-33	emotion	Verdrietig	0.2827863273512808	1.65309847616345
id-1344_AU13-66_AU14-66_AU24-33_AU9-33	1	1	1	2	3	test	id-1344_AU13-66_AU14-66_AU24-33_AU9-33	emotion	Boos	0.3818138629797999	1.6612102914073148
id-1280_AU1-66_AU17-100_AU26-33	1	1	1	2	4	test_extra	id-1280_AU1-66_AU17-100_AU26-33	emotion	Bang	0.4219018105674974	1.1364401709479353
id-1264_AU15-66_AU24-33_AU4-100	1	1	1	2	5	train	id-1264_AU15-66_AU24-33_AU4-100	emotion	Verdrietig	0.6190250170686279	1.2277749906274948
id-1296_AU12-100_AU9-33	1	1	1	2	6	train	id-1296_AU12-100_AU9-33	emotion	Walging	0.4028423578934191	1.1279987273687766
id-1358_AU2-66_AU22-33_AU7-66	1	1	1	2	7	train	id-1358_AU2-66_AU22-33_AU7-66	emotion	Walging	0.7489952257569906	0.9696352535693222
id-1285_AU27i-100_AU4-33_AU6-100	1	1	1	2	8	train	id-1285_AU27i-100_AU4-33_AU6-100	emotion	Verrassing	0.4084884584097968	1.2280526994809406
id-1344_AU16Open-33	1	1	1	2	9	test_extra	id-1344_AU16Open-33	emotion	Boos	0.4991455661314148	0.7612337759169351
id-1285_AU26-100_AU4-66_AU7-100_AU9-33	1	1	1	2	10	test_extra	id-1285_AU26-100_AU4-66_AU7-100_AU9-33	emotion	Walging	0.9067407217371428	1.0194311677478254
id-1296_AU1-66_AU17-100_AU27i-33_AU4-66_AU5-100	1	1	1	2	11	test	id-1296_AU1-66_AU17-100_AU27i-33_AU4-66_AU5-100	emotion	Verdrietig	0.4019680713667418	0.8529160335206143
id-1297_AU10Open-100_AU6-100	1	1	1	2	12	train	id-1297_AU10Open-100_AU6-100	emotion	Walging	0.3925842656856141	1.5284189733101812
id-1360_AU10Open-66_AU20-33	1	1	1	2	13	train	id-1360_AU10Open-66_AU20-33	emotion	Walging	0.19034680821192607	5.47856872479133
id-1366_AU11-66_AU14-66_AU9-33	1	1	1	2	14	test_extra	id-1366_AU11-66_AU14-66_AU9-33	emotion	Boos	0.2485529858625785	1.102952105486111
id-1294_AU10Open-66_AU27i-66_AU43-33_AU7-66	1	1	1	2	15	test_extra	id-1294_AU10Open-66_AU27i-66_AU43-33_AU7-66	emotion	Verrassing	0.4146418843086663	1.5865081190599994
id-1367_AU1-100_AU22-33_AU26-100	1	1	1	2	16	test_extra	id-1367_AU1-100_AU22-33_AU26-100	emotion	Verrassing	0.7593862956683012	1.4947525100956227
id-1356_AU13-100_AU25-33_AU26-100	1	1	1	2	17	test_extra	id-1356_AU13-100_AU25-33_AU26-100	emotion	Verrassing	0.6714830277103853	1.219723546873411
id-1273_AU15-66_AU20-66_AU5-66	1	1	1	2	18	train	id-1273_AU15-66_AU20-66_AU5-66	emotion	Verrassing	0.3562496843968081	2.04478508051443
id-1293_AU6-33_AU7-66	1	1	1	2	19	test_extra	id-1293_AU6-33_AU7-66	emotion	Walging	0.31314743196575523	2.2115927146101058
