	rep	session	run	block	trial	data_split	trial_type	rating_type	rating	rating_intensity	rating_RT
id-1315_AU14-66_AU22-33_AU24-66_AU6-100	1	1	1	1	1	test_extra	id-1315_AU14-66_AU22-33_AU24-66_AU6-100	valence	-0.3369634161312764		2.5357722207809275
id-1315_AU14-66_AU22-33_AU24-66_AU6-100	1	1	1	1	1	test_extra	id-1315_AU14-66_AU22-33_AU24-66_AU6-100	arousal	0.29620171256700906		2.5357722207809275
id-1266_AU17-33_AU24-33_AU26-66	1	1	1	1	2	train	id-1266_AU17-33_AU24-33_AU26-66	valence	-0.11141532307566396		1.4353569253071328
id-1266_AU17-33_AU24-33_AU26-66	1	1	1	1	2	train	id-1266_AU17-33_AU24-33_AU26-66	arousal	0.04619659737283628		1.4353569253071328
id-1264_AU10Open-66_AU25-66_AU43-33	1	1	1	1	3	test_extra	id-1264_AU10Open-66_AU25-66_AU43-33	valence	0.3641378851741212		1.2937891018591472
id-1264_AU10Open-66_AU25-66_AU43-33	1	1	1	1	3	test_extra	id-1264_AU10Open-66_AU25-66_AU43-33	arousal	-0.3179412878012849		1.2937891018591472
id-1269_AU1-66_AU16Open-33_AU20-66	1	1	1	1	4	train	id-1269_AU1-66_AU16Open-33_AU20-66	valence	-0.418486823259811		0.8270009677544294
id-1269_AU1-66_AU16Open-33_AU20-66	1	1	1	1	4	train	id-1269_AU1-66_AU16Open-33_AU20-66	arousal	0.04347915046855179		0.8270009677544294
id-1296_AU13-66_AU14-100_AU17-66	1	1	1	1	5	test_extra	id-1296_AU13-66_AU14-100_AU17-66	valence	0.0027174469042844872		2.910384862210776
id-1296_AU13-66_AU14-100_AU17-66	1	1	1	1	5	test_extra	id-1296_AU13-66_AU14-100_AU17-66	arousal	0.02717446904284487		2.910384862210776
id-1294_AU11-33_AU14-33_AU17-33_AU4-100	1	1	1	1	6	test_extra	id-1294_AU11-33_AU14-33_AU17-33_AU4-100	valence	0.50272767729263		1.7021756677568192
id-1294_AU11-33_AU14-33_AU17-33_AU4-100	1	1	1	1	6	test_extra	id-1294_AU11-33_AU14-33_AU17-33_AU4-100	arousal	-0.5108800180054835		1.7021756677568192
id-1293_AU1-33_AU27i-100_AU43-100_AU6-66	1	1	1	1	7	test_extra	id-1293_AU1-33_AU27i-100_AU43-100_AU6-66	valence	-0.8152340712853461		1.3186214049528644
