	rep	session	run	block	trial	data_split	trial_type	rating_type	rating	rating_intensity	rating_RT
id-1296_AU12-66_AU6-66	1	1	1	1	1	train	id-1296_AU12-66_AU6-66	emotion	Boos	0.15728401993213206	6.086874679466972
id-1370_AU2-33_AU27i-66	1	1	1	1	2	test_extra	id-1370_AU2-33_AU27i-66	emotion	Blij	0.29772266811266096	1.1612516266247894
id-1310_AU15-66_AU25-100_AU4-100_AU43-33	1	1	1	1	3	train	id-1310_AU15-66_AU25-100_AU4-100_AU43-33	emotion	Boos	0.20286670279441474	5.578642319386972
id-1377_AU13-66_AU14-33_AU22-33_AU7-100_AU9-66	1	1	1	1	4	train	id-1377_AU13-66_AU14-33_AU22-33_AU7-100_AU9-66	emotion	Blij	0.4814053313942575	1.9698117114585327
id-1274_AU16Open-33_AU27i-100_AU6-100	1	1	1	1	5	test_extra	id-1274_AU16Open-33_AU27i-100_AU6-100	emotion	Boos	0.2300459396367321	3.711716318410709
id-1274_AU14-100_AU25-100_AU27i-66_AU5-33	1	1	1	1	6	test_extra	id-1274_AU14-100_AU25-100_AU27i-66_AU5-33	emotion	Bang	0.18427026420083328	1.8031559619071231
id-1376_AU2-33	1	1	1	1	7	test_extra	id-1376_AU2-33	emotion	Blij	0.2410414435959063	6.1118372418116
id-1355_AU10Open-100_AU2-33_AU20-66	1	1	1	1	8	test_extra	id-1355_AU10Open-100_AU2-33_AU20-66	emotion	Bang	0.5226431109873287	1.4364522776675133
id-1378_AU1-66_AU20-66_AU7-33	1	1	1	1	9	test	id-1378_AU1-66_AU20-66_AU7-33	emotion	Bang	0.1597413296333038	6.128524127780337
id-1377_AU17-66_AU24-33_AU4-100	1	1	1	1	10	test	id-1377_AU17-66_AU24-33_AU4-100	emotion	Verdrietig	0.17598107108115868	2.0113793568723395
id-1266_AU15-33_AU5-66_AU9-33	1	1	1	1	11	test_extra	id-1266_AU15-33_AU5-66_AU9-33	emotion	Boos	0.18717957657350406	2.0364222128380334
id-1367_AU17-66	1	1	1	1	12	test_extra	id-1367_AU17-66	emotion	Verdrietig	0.12982506962479293	5.011821575499654
id-1273_AU1-33_AU25-100_AU4-33	1	1	1	1	13	train	id-1273_AU1-33_AU25-100_AU4-33	emotion	Geen van allen	0.0	3.2949571078115696
id-1296_AU13-66_AU14-100_AU17-66	1	1	1	1	14	test_extra	id-1296_AU13-66_AU14-100_AU17-66	emotion	Verdrietig	0.1806861702736199	4.978368415508157
id-1269_AU11-100_AU13-33_AU25-100	1	1	1	1	15	test_extra	id-1269_AU11-100_AU13-33_AU25-100	emotion	Boos	0.26702349045239426	2.161506392851152
id-1290_AU24-33_AU25-66_AU4-66	1	1	1	1	16	test_extra	id-1290_AU24-33_AU25-66_AU4-66	emotion	Boos	0.2573793882667574	1.0445976731150497
id-1358_AU15-66_AU2-33_AU26-66	1	1	1	1	17	test_extra	id-1358_AU15-66_AU2-33_AU26-66	emotion	Verrassing	0.3612235754493962	1.3281069028064394
id-1344_AU1-33_AU11-33_AU4-33_AU7-66	1	1	1	1	18	train	id-1344_AU1-33_AU11-33_AU4-33_AU7-66	emotion	Boos	0.2294754672856336	1.9363048211489515
id-1270_AU15-33_AU22-66	1	1	1	1	19	train	id-1270_AU15-33_AU22-66	emotion	Geen van allen	0.0	4.903348817525512
id-1376_AU1-33_AU5-100_AU7-66	1	1	1	1	20	train	id-1376_AU1-33_AU5-100_AU7-66	emotion	Verrassing	0.2470494405408244	2.4615352804435133
id-1323_AU12-66_AU16Open-33_AU7-66_AU9-100	1	1	1	1	21	test	id-1323_AU12-66_AU16Open-33_AU7-66_AU9-100	emotion	Boos	0.4657297042870983	1.1197217131757498
id-1290_AU13-100_AU20-33_AU25-33	1	1	1	1	22	train	id-1290_AU13-100_AU20-33_AU25-33	emotion	Boos	0.10249626249153264	1.0280605075822675
id-1260_AU12-66_AU25-33	1	1	1	1	23	test	id-1260_AU12-66_AU25-33	emotion	Bang	0.3593543238891886	1.236408267103343
id-1291_AU2-66_AU43-100_AU9-100	1	1	1	1	24	train	id-1291_AU2-66_AU43-100_AU9-100	emotion	Geen van allen	0.0	2.028198153790072
