	rep	session	run	block	trial	data_split	trial_type	rating_type	rating	rating_intensity	rating_RT
id-1279_AU11-33_AU12-100_AU15-33_AU26-66_AU43-100	1	1	1	1	1	test_extra	id-1279_AU11-33_AU12-100_AU15-33_AU26-66_AU43-100	emotion	Blij	0.4963090104479784	6.553619380638338
id-1376_AU1-100_AU13-33_AU14-33_AU27i-66	1	1	1	1	2	test	id-1376_AU1-100_AU13-33_AU14-33_AU27i-66	emotion	Verrassing	0.6832781765287921	7.237407148928468
id-1363_AU14-66	1	1	1	1	3	test_extra	id-1363_AU14-66	emotion	Blij	0.3063540826150539	5.161847627649877
id-1318_AU15-100_AU4-33_AU43-100_AU9-66	1	1	1	1	4	train	id-1318_AU15-100_AU4-33_AU43-100_AU9-66	emotion	Boos	0.5484363404490299	2.011538164325429
id-1339_AU20-100_AU43-33_AU9-100	1	1	1	1	5	train	id-1339_AU20-100_AU43-33_AU9-100	emotion	Walging	0.2989439368430691	4.861738234839322
id-1307_AU1-33_AU10Open-100_AU4-66_AU9-33	1	1	1	1	6	test_extra	id-1307_AU1-33_AU10Open-100_AU4-66_AU9-33	emotion	Walging	0.7191340736025039	4.961740891177215
id-1356_AU11-100_AU12-33_AU25-66	1	1	1	1	7	train	id-1356_AU11-100_AU12-33_AU25-66	emotion	Blij	0.5518297264568655	4.970102015436169
id-1370_AU1-33_AU26-66_AU7-100	1	1	1	1	8	test_extra	id-1370_AU1-33_AU26-66_AU7-100	emotion	Verrassing	0.6008735269220327	3.26167249048558
id-1318_AU24-33	1	1	1	1	9	test_extra	id-1318_AU24-33	emotion	Verdrietig	0.3455001891516374	0.9198163384071448
id-1273_AU13-33_AU4-100_AU9-100	1	1	1	1	10	train	id-1273_AU13-33_AU4-100_AU9-100	emotion	Walging	0.3025136990659732	1.961372324343756
id-1297_AU20-33_AU22-33_AU26-66	1	1	1	1	11	train	id-1297_AU20-33_AU22-33_AU26-66	emotion	Bang	0.4586973543815938	1.9446253235901167
id-1363_AU16Open-66_AU26-66_AU43-66	1	1	1	1	12	train	id-1363_AU16Open-66_AU26-66_AU43-66	emotion	Bang	0.1524228818770055	5.853648781465381
id-1347_AU22-100_AU6-100	1	1	1	1	13	test_extra	id-1347_AU22-100_AU6-100	emotion	Walging	0.1122164476221872	8.637185042887722
id-1354_AU1-66_AU10Open-100	1	1	1	1	14	test	id-1354_AU1-66_AU10Open-100	emotion	Walging	0.2721269196766853	5.086784962231832
id-1347_AU1-66_AU26-33	1	1	1	1	15	test_extra	id-1347_AU1-66_AU26-33	emotion	Verrassing	0.5733514449019667	3.2200606610895197
id-1344_AU1-66_AU12-66_AU24-33_AU27i-33	1	1	1	1	16	train	id-1344_AU1-66_AU12-66_AU24-33_AU27i-33	emotion	Verrassing	0.5957097138778034	4.786954786720344
id-1266_AU17-100_AU20-66	1	1	1	1	17	test_extra	id-1266_AU17-100_AU20-66	emotion	Verdrietig	0.5862041383240757	2.09469420725236
id-1342_AU1-100_AU14-100_AU15-66_AU5-100_AU7-100	1	1	1	1	18	test	id-1342_AU1-100_AU14-100_AU15-66_AU5-100_AU7-100	emotion	Boos	0.34399668858064897	1.4864605268239757
id-1370_AU26-100_AU4-33_AU6-33	1	1	1	1	19	test_extra	id-1370_AU26-100_AU4-33_AU6-33	emotion	Walging	0.19626625888133328	2.828147639240342
id-1302_AU12-66_AU43-33	1	1	1	1	20	train	id-1302_AU12-66_AU43-33	emotion	Blij	0.3684005532775147	1.203129225991688
id-1370_AU13-33_AU25-33	1	1	1	1	21	test_extra	id-1370_AU13-33_AU25-33	emotion	Blij	0.19096564703496144	0.977911647799374
id-1370_AU12-33_AU24-33_AU26-33	1	1	1	1	22	train	id-1370_AU12-33_AU24-33_AU26-33	emotion	Blij	0.3144131170312632	1.3530444646758042
id-1309_AU15-66_AU43-100	1	1	1	1	23	train	id-1309_AU15-66_AU43-100	emotion	Verdrietig	0.4643056103103331	2.3197723277244218
id-1269_AU10Open-66_AU20-66_AU26-66_AU43-66	1	1	1	1	24	test	id-1269_AU10Open-66_AU20-66_AU26-66_AU43-66	emotion	Walging	0.3428143678234346	2.111355178892154
id-1380_AU12-33_AU13-33_AU22-33_AU9-33	1	1	1	1	25	test_extra	id-1380_AU12-33_AU13-33_AU22-33_AU9-33	emotion	Blij	0.3168202242786625	6.053513730850682
id-1378_AU15-100_AU16Open-66_AU26-66_AU7-100	1	1	1	1	26	train	id-1378_AU15-100_AU16Open-66_AU26-66_AU7-100	emotion	Bang	0.22329985150602186	2.43643384270581
id-1376_AU11-100_AU17-33_AU24-66_AU43-66	1	1	1	1	27	test_extra	id-1376_AU11-100_AU17-33_AU24-66_AU43-66	emotion	Verdrietig	0.358120418041475	1.9447053155736285
id-1339_AU10Open-100_AU12-33_AU20-100_AU27i-33	1	1	1	1	28	test	id-1339_AU10Open-100_AU12-33_AU20-100_AU27i-33	emotion	Blij	0.6050070507359075	1.7447576574959385
id-1273_AU10Open-66_AU12-66_AU25-66	1	1	1	1	29	train	id-1273_AU10Open-66_AU12-66_AU25-66	emotion	Blij	0.2468064211899633	5.003510893398925
id-1380_AU12-66_AU4-33	1	1	1	1	30	test_extra	id-1380_AU12-66_AU4-33	emotion	Walging	0.3834241382337944	3.3865357494732966
id-1362_AU17-33_AU5-33	1	1	1	1	31	train	id-1362_AU17-33_AU5-33	emotion	Verdrietig	0.2729164775748778	1.8824606862044675
id-1335_AU43-66_AU5-66	1	1	1	1	32	test	id-1335_AU43-66_AU5-66	emotion	Geen van allen	0.0	1.0780214632077332
id-1323_AU12-66_AU16Open-33_AU7-66_AU9-100	1	1	1	1	33	test	id-1323_AU12-66_AU16Open-33_AU7-66_AU9-100	emotion	Boos	0.20577917932092768	1.5863696076348788
id-1297_AU14-66_AU16Open-33_AU25-100_AU26-100	1	1	1	1	34	test_extra	id-1297_AU14-66_AU16Open-33_AU25-100_AU26-100	emotion	Bang	0.4118340326770916	1.4780335978402943
id-1354_AU16Open-66_AU27i-33_AU5-100	1	1	1	1	35	test_extra	id-1354_AU16Open-66_AU27i-33_AU5-100	emotion	Bang	0.5267428931462256	2.7031751081858597
id-1280_AU1-33_AU15-33_AU20-33_AU25-66	1	1	1	1	36	test_extra	id-1280_AU1-33_AU15-33_AU20-33_AU25-66	emotion	Bang	0.2303245388774632	5.436973562196727
id-1297_AU20-33_AU22-33_AU26-66	1	1	1	2	1	train	id-1297_AU20-33_AU22-33_AU26-66	valence	-0.5516417215697509		4.877497259142729
id-1297_AU20-33_AU22-33_AU26-66	1	1	1	2	1	train	id-1297_AU20-33_AU22-33_AU26-66	arousal	0.5543591684740353		4.877497259142729
id-1363_AU14-66	1	1	1	2	2	test_extra	id-1363_AU14-66	valence	0.3179412878012849		7.919634620771832
id-1363_AU14-66	1	1	1	2	2	test_extra	id-1363_AU14-66	arousal	-0.0407617035642673		7.919634620771832
id-1363_AU16Open-66_AU26-66_AU43-66	1	1	1	2	3	train	id-1363_AU16Open-66_AU26-66_AU43-66	valence	-0.04347915046855179		9.77802979444732
id-1363_AU16Open-66_AU26-66_AU43-66	1	1	1	2	3	train	id-1363_AU16Open-66_AU26-66_AU43-66	arousal	-0.4864229958669232		9.77802979444732
id-1380_AU12-66_AU4-33	1	1	1	2	4	test_extra	id-1380_AU12-66_AU4-33	valence	-0.2798970311413021		3.577160266502688
id-1380_AU12-66_AU4-33	1	1	1	2	4	test_extra	id-1380_AU12-66_AU4-33	arousal	0.3179412878012849		3.577160266502688
id-1370_AU1-33_AU26-66_AU7-100	1	1	1	2	5	test_extra	id-1370_AU1-33_AU26-66_AU7-100	valence	-0.13587234521422434		4.977477578096114
id-1370_AU1-33_AU26-66_AU7-100	1	1	1	2	5	test_extra	id-1370_AU1-33_AU26-66_AU7-100	arousal	0.5000102303883456		4.977477578096114
id-1378_AU15-100_AU16Open-66_AU26-66_AU7-100	1	1	1	2	6	train	id-1378_AU15-100_AU16Open-66_AU26-66_AU7-100	valence	-0.3750076727912592		6.96105114898637
id-1378_AU15-100_AU16Open-66_AU26-66_AU7-100	1	1	1	2	6	train	id-1378_AU15-100_AU16Open-66_AU26-66_AU7-100	arousal	0.5054451241969146		6.96105114898637
id-1380_AU12-33_AU13-33_AU22-33_AU9-33	1	1	1	2	7	test_extra	id-1380_AU12-33_AU13-33_AU22-33_AU9-33	valence	0.50272767729263		3.902292962637148
id-1380_AU12-33_AU13-33_AU22-33_AU9-33	1	1	1	2	7	test_extra	id-1380_AU12-33_AU13-33_AU22-33_AU9-33	arousal	0.2608749028113107		3.902292962637148
id-1344_AU1-66_AU12-66_AU24-33_AU27i-33	1	1	1	2	8	train	id-1344_AU1-66_AU12-66_AU24-33_AU27i-33	valence	-0.06793617260711217		6.385936262387986
id-1344_AU1-66_AU12-66_AU24-33_AU27i-33	1	1	1	2	8	train	id-1344_AU1-66_AU12-66_AU24-33_AU27i-33	arousal	-0.2744621373327332		6.385936262387986
id-1273_AU10Open-66_AU12-66_AU25-66	1	1	1	2	9	train	id-1273_AU10Open-66_AU12-66_AU25-66	valence	0.4701183144412162		7.002705238297494
id-1273_AU10Open-66_AU12-66_AU25-66	1	1	1	2	9	train	id-1273_AU10Open-66_AU12-66_AU25-66	arousal	-0.201091070917052		7.002705238297494
id-1370_AU26-100_AU4-33_AU6-33	1	1	1	2	10	test_extra	id-1370_AU26-100_AU4-33_AU6-33	valence	-0.15489447354421576		4.969020463458038
id-1370_AU26-100_AU4-33_AU6-33	1	1	1	2	10	test_extra	id-1370_AU26-100_AU4-33_AU6-33	arousal	0.15761192044850025		4.969020463458038
id-1297_AU14-66_AU16Open-33_AU25-100_AU26-100	1	1	1	2	11	test_extra	id-1297_AU14-66_AU16Open-33_AU25-100_AU26-100	valence	-0.5163149118140525		7.219563805228063
id-1297_AU14-66_AU16Open-33_AU25-100_AU26-100	1	1	1	2	11	test_extra	id-1297_AU14-66_AU16Open-33_AU25-100_AU26-100	arousal	0.3097889470884315		7.219563805228063
id-1273_AU13-33_AU4-100_AU9-100	1	1	1	2	12	train	id-1273_AU13-33_AU4-100_AU9-100	valence	-0.1875038363956296		4.002381044375397
id-1273_AU13-33_AU4-100_AU9-100	1	1	1	2	12	train	id-1273_AU13-33_AU4-100_AU9-100	arousal	0.14674213283136228		4.002381044375397
id-1370_AU13-33_AU25-33	1	1	1	2	13	test_extra	id-1370_AU13-33_AU25-33	valence	0.1657642611613537		4.652465322721582
id-1370_AU13-33_AU25-33	1	1	1	2	13	test_extra	id-1370_AU13-33_AU25-33	arousal	-0.09782808855424154		4.652465322721582
id-1309_AU15-66_AU43-100	1	1	1	2	14	train	id-1309_AU15-66_AU43-100	valence	-0.21739575234275896		2.4773504964941817
id-1309_AU15-66_AU43-100	1	1	1	2	14	train	id-1309_AU15-66_AU43-100	arousal	-0.1032629823628105		2.4773504964941817
id-1280_AU1-33_AU15-33_AU20-33_AU25-66	1	1	1	2	15	test_extra	id-1280_AU1-33_AU15-33_AU20-33_AU25-66	valence	-0.2418527744813193		4.535920626220103
id-1280_AU1-33_AU15-33_AU20-33_AU25-66	1	1	1	2	15	test_extra	id-1280_AU1-33_AU15-33_AU20-33_AU25-66	arousal	0.24457022138560386		4.535920626220103
id-1269_AU10Open-66_AU20-66_AU26-66_AU43-66	1	1	1	2	16	test	id-1269_AU10Open-66_AU20-66_AU26-66_AU43-66	valence	-0.3451157568441299		6.2861334350791385
id-1269_AU10Open-66_AU20-66_AU26-66_AU43-66	1	1	1	2	16	test	id-1269_AU10Open-66_AU20-66_AU26-66_AU43-66	arousal	0.1032629823628105		6.2861334350791385
id-1339_AU10Open-100_AU12-33_AU20-100_AU27i-33	1	1	1	2	17	test	id-1339_AU10Open-100_AU12-33_AU20-100_AU27i-33	valence	0.4891404427712077		2.435527065664246
id-1339_AU10Open-100_AU12-33_AU20-100_AU27i-33	1	1	1	2	17	test	id-1339_AU10Open-100_AU12-33_AU20-100_AU27i-33	arousal	0.19565617710848307		2.435527065664246
id-1347_AU22-100_AU6-100	1	1	1	2	18	test_extra	id-1347_AU22-100_AU6-100	valence	-0.23098298686418134		8.861366649440242
id-1347_AU22-100_AU6-100	1	1	1	2	18	test_extra	id-1347_AU22-100_AU6-100	arousal	0.2282655399598969		8.861366649440242
id-1356_AU11-100_AU12-33_AU25-66	1	1	1	2	19	train	id-1356_AU11-100_AU12-33_AU25-66	valence	0.29891915947129355		5.3942786715415405
id-1356_AU11-100_AU12-33_AU25-66	1	1	1	2	19	train	id-1356_AU11-100_AU12-33_AU25-66	arousal	0.40761703564267293		5.3942786715415405
id-1376_AU1-100_AU13-33_AU14-33_AU27i-66	1	1	1	2	20	test	id-1376_AU1-100_AU13-33_AU14-33_AU27i-66	valence	-0.3206587347055695		3.927434895581429
id-1376_AU1-100_AU13-33_AU14-33_AU27i-66	1	1	1	2	20	test	id-1376_AU1-100_AU13-33_AU14-33_AU27i-66	arousal	0.42392171706838		3.927434895581429
id-1354_AU16Open-66_AU27i-33_AU5-100	1	1	1	2	21	test_extra	id-1354_AU16Open-66_AU27i-33_AU5-100	valence	-0.3179412878012849		3.860842324633268
id-1354_AU16Open-66_AU27i-33_AU5-100	1	1	1	2	21	test_extra	id-1354_AU16Open-66_AU27i-33_AU5-100	arousal	0.4782706551540697		3.860842324633268
id-1342_AU1-100_AU14-100_AU15-66_AU5-100_AU7-100	1	1	1	2	22	test	id-1342_AU1-100_AU14-100_AU15-66_AU5-100_AU7-100	valence	-0.1657642611613537		4.960960290168258
id-1342_AU1-100_AU14-100_AU15-66_AU5-100_AU7-100	1	1	1	2	22	test	id-1342_AU1-100_AU14-100_AU15-66_AU5-100_AU7-100	arousal	0.5842510844211647		4.960960290168258
id-1335_AU43-66_AU5-66	1	1	1	2	23	test	id-1335_AU43-66_AU5-66	valence	0.11956766378851742		7.361091959990518
id-1335_AU43-66_AU5-66	1	1	1	2	23	test	id-1335_AU43-66_AU5-66	arousal	-0.4565310799197938		7.361091959990518
id-1376_AU11-100_AU17-33_AU24-66_AU43-66	1	1	1	2	24	test_extra	id-1376_AU11-100_AU17-33_AU24-66_AU43-66	valence	-0.08967574784138807		5.9108955721267185
id-1376_AU11-100_AU17-33_AU24-66_AU43-66	1	1	1	2	24	test_extra	id-1376_AU11-100_AU17-33_AU24-66_AU43-66	arousal	-0.4972927834840611		5.9108955721267185
id-1354_AU1-66_AU10Open-100	1	1	1	2	25	test	id-1354_AU1-66_AU10Open-100	valence	-0.11413276997994845		8.169451393852796
id-1354_AU1-66_AU10Open-100	1	1	1	2	25	test	id-1354_AU1-66_AU10Open-100	arousal	-0.2092434116299055		8.169451393852796
id-1318_AU15-100_AU4-33_AU43-100_AU9-66	1	1	1	2	26	train	id-1318_AU15-100_AU4-33_AU43-100_AU9-66	valence	-0.1711991549699227		2.052146320731481
id-1318_AU15-100_AU4-33_AU43-100_AU9-66	1	1	1	2	26	train	id-1318_AU15-100_AU4-33_AU43-100_AU9-66	arousal	0.4266391639726645		2.052146320731481
id-1302_AU12-66_AU43-33	1	1	1	2	27	train	id-1302_AU12-66_AU43-33	valence	0.4347915046855179		2.1603938865600867
id-1302_AU12-66_AU43-33	1	1	1	2	27	train	id-1302_AU12-66_AU43-33	arousal	-0.1521770266399313		2.1603938865600867
id-1266_AU17-100_AU20-66	1	1	1	2	28	test_extra	id-1266_AU17-100_AU20-66	valence	-0.4891404427712077		2.2354813042138635
id-1266_AU17-100_AU20-66	1	1	1	2	28	test_extra	id-1266_AU17-100_AU20-66	arousal	0.17663404877849165		2.2354813042138635
id-1318_AU24-33	1	1	1	2	29	test_extra	id-1318_AU24-33	valence	-0.1630468142570692		3.8106798050730495
id-1318_AU24-33	1	1	1	2	29	test_extra	id-1318_AU24-33	arousal	-0.2282655399598969		3.8106798050730495
id-1339_AU20-100_AU43-33_AU9-100	1	1	1	2	30	train	id-1339_AU20-100_AU43-33_AU9-100	valence	-0.1630468142570692		2.393845809265258
id-1339_AU20-100_AU43-33_AU9-100	1	1	1	2	30	train	id-1339_AU20-100_AU43-33_AU9-100	arousal	0.2364178806727504		2.393845809265258
id-1323_AU12-66_AU16Open-33_AU7-66_AU9-100	1	1	1	2	31	test	id-1323_AU12-66_AU16Open-33_AU7-66_AU9-100	valence	0.33424596922699185		2.8939704760159657
id-1323_AU12-66_AU16Open-33_AU7-66_AU9-100	1	1	1	2	31	test	id-1323_AU12-66_AU16Open-33_AU7-66_AU9-100	arousal	0.29620171256700906		2.8939704760159657
id-1307_AU1-33_AU10Open-100_AU4-66_AU9-33	1	1	1	2	32	test_extra	id-1307_AU1-33_AU10Open-100_AU4-66_AU9-33	valence	-0.5543591684740353		3.436742038232296
id-1307_AU1-33_AU10Open-100_AU4-66_AU9-33	1	1	1	2	32	test_extra	id-1307_AU1-33_AU10Open-100_AU4-66_AU9-33	arousal	0.23370043376846586		3.436742038232296
id-1279_AU11-33_AU12-100_AU15-33_AU26-66_AU43-100	1	1	1	2	33	test_extra	id-1279_AU11-33_AU12-100_AU15-33_AU26-66_AU43-100	valence	0.6521872570282768		4.319114582327528
id-1279_AU11-33_AU12-100_AU15-33_AU26-66_AU43-100	1	1	1	2	33	test_extra	id-1279_AU11-33_AU12-100_AU15-33_AU26-66_AU43-100	arousal	0.19022128329991408		4.319114582327528
id-1362_AU17-33_AU5-33	1	1	1	2	34	train	id-1362_AU17-33_AU5-33	valence	-0.10869787617137948		3.4272767227557783
id-1362_AU17-33_AU5-33	1	1	1	2	34	train	id-1362_AU17-33_AU5-33	arousal	-0.3967472480255351		3.4272767227557783
id-1370_AU12-33_AU24-33_AU26-33	1	1	1	2	35	train	id-1370_AU12-33_AU24-33_AU26-33	valence	0.50272767729263		4.685796925410614
id-1370_AU12-33_AU24-33_AU26-33	1	1	1	2	35	train	id-1370_AU12-33_AU24-33_AU26-33	arousal	-0.17663404877849165		4.685796925410614
id-1347_AU1-66_AU26-33	1	1	1	2	36	test_extra	id-1347_AU1-66_AU26-33	valence	-0.11413276997994845		4.427365468577591
id-1347_AU1-66_AU26-33	1	1	1	2	36	test_extra	id-1347_AU1-66_AU26-33	arousal	0.6521872570282768		4.427365468577591
id-1310_AU10Open-33_AU16Open-33_AU20-66_AU26-100	1	1	1	3	1	test_extra	id-1310_AU10Open-33_AU16Open-33_AU20-66_AU26-100	emotion	Boos	0.5322869084146111	2.5781760137542733
